task_id,label,path,is_se,kind,R,paper_R,I,drr,n_rows,n_used,seed,drr_version,drr_commit,drr_dirty,status
SS-A,SS-A,data/moot/optimize/config/SS-A.csv,True,regression,3,,1.0,0.6666666666666667,1343,1343,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
SS-B,SS-B,data/moot/optimize/config/SS-B.csv,True,regression,3,,2.0,0.33333333333333337,206,206,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
SS-C,SS-C,data/moot/optimize/config/SS-C.csv,True,regression,3,,1.0,0.6666666666666667,1512,1512,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
SS-D,SS-D,data/moot/optimize/config/SS-D.csv,True,regression,3,,1.0,0.6666666666666667,196,196,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
SS-E,SS-E,data/moot/optimize/config/SS-E.csv,True,regression,3,,1.0,0.6666666666666667,756,756,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
SS-F,SS-F,data/moot/optimize/config/SS-F.csv,True,regression,3,,1.0,0.6666666666666667,196,196,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
SS-G,SS-G,data/moot/optimize/config/SS-G.csv,True,regression,3,,1.0,0.6666666666666667,196,196,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
SS-H,SS-H,data/moot/optimize/config/SS-H.csv,True,regression,4,,2.0,0.5,259,259,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
SS-I,SS-I,data/moot/optimize/config/SS-I.csv,True,regression,5,,2.0,0.6,1080,1080,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
SS-J,SS-J,data/moot/optimize/config/SS-J.csv,True,regression,6,,2.0,0.6666666666666667,3840,3840,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
SS-K,SS-K,data/moot/optimize/config/SS-K.csv,True,regression,6,,2.0,0.6666666666666667,2880,2880,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
SS-L,SS-L,data/moot/optimize/config/SS-L.csv,True,regression,11,,9.0,0.18181818181818177,1023,1023,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
SS-M,SS-M,data/moot/optimize/config/SS-M.csv,True,regression,17,,4.0,0.7647058823529411,864,864,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
SS-N,SS-N,data/moot/optimize/config/SS-N.csv,True,regression,17,,3.0,0.8235294117647058,5000,5000,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
SS-O,SS-O,data/moot/optimize/config/SS-O.csv,True,regression,11,,4.0,0.6363636363636364,972,972,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
