dataset,group,R,I,DRR
all_players,behavior_data,55,2,0.9636
player_statistics_cleaned_final,behavior_data,26,2,0.9231
student_dropout,behavior_data,33,5,0.8485
WA_Fn-UseC_-HR-Employee-Attrition,behavior_data,32,6,0.8125
billing10k,binary_config,88,7,0.9205
FFM-1000-200-0.50-SAT-1,binary_config,1044,7,0.9933
FFM-125-25-0.50-SAT-1,binary_config,128,4,0.9688
FFM-250-50-0.50-SAT-1,binary_config,256,6,0.9766
FFM-500-100-0.50-SAT-1,binary_config,510,6,0.9882
FM-500-100-0.25-SAT-1,binary_config,517,7,0.9865
FM-500-100-0.50-SAT-1,binary_config,513,2,0.9961
FM-500-100-0.75-SAT-1,binary_config,511,7,0.9863
FM-500-100-1.00-SAT-1,binary_config,511,9,0.9824
Scrum100k,binary_config,124,6,0.9516
Scrum10k,binary_config,124,2,0.9839
Scrum1k,binary_config,124,5,0.9597
Apache_AllMeasurements,config,9,4,0.5556
HSMGP_num,config,14,3,0.7857
rs-6d-c3_obj1,config,6,2,0.6667
rs-6d-c3_obj2,config,6,2,0.6667
sol-6d-c2-obj1,config,6,2,0.6667
SQL_AllMeasurements,config,39,2,0.9487
SS-A,config,3,1,0.6667
SS-B,config,3,2,0.3333
SS-C,config,3,1,0.6667
SS-D,config,3,1,0.6667
SS-E,config,3,1,0.6667
SS-F,config,3,1,0.6667
SS-G,config,3,1,0.6667
SS-H,config,4,2,0.5
SS-I,config,5,2,0.6
SS-J,config,6,2,0.6667
SS-K,config,6,2,0.6667
SS-L,config,11,9,0.1818
SS-M,config,17,4,0.7647
SS-N,config,17,3,0.8235
SS-O,config,11,4,0.6364
SS-P,config,11,9,0.1818
SS-Q,config,13,3,0.7692
SS-R,config,14,2,0.8571
SS-S,config,6,2,0.6667
SS-T,config,12,3,0.75
SS-U,config,21,5,0.7619
SS-V,config,16,3,0.8125
SS-W,config,16,11,0.3125
SS-X,config,11,2,0.8182
wc+rs-3d-c4-obj1,config,3,1,0.6667
wc+sol-3d-c4-obj1,config,3,1,0.6667
wc+wc-3d-c4-obj1,config,3,1,0.6667
wc-6d-c1-obj1,config,6,2,0.6667
X264_AllMeasurements,config,16,6,0.625
BankChurners,financial_data,19,3,0.8421
home_data_for_ml_course,financial_data,77,4,0.9481
Loan,financial_data,31,6,0.8065
WA_Fn-UseC_-Telco-Customer-Churn,financial_data,19,3,0.8421
Data_COVID19_Indonesia,health_data,35,2,0.9429
Life_Expectancy_Data,health_data,20,2,0.9
Medical_Data_and_Hospital_Readmissions,health_data,64,4,0.9375
Health-ClosedIssues0000,hpo,5,3,0.4
Health-ClosedIssues0001,hpo,5,3,0.4
Health-ClosedIssues0002,hpo,5,3,0.4
Health-ClosedIssues0003,hpo,5,3,0.4
Health-ClosedIssues0004,hpo,5,3,0.4
Health-ClosedIssues0005,hpo,5,3,0.4
Health-ClosedIssues0006,hpo,5,3,0.4
Health-ClosedIssues0007,hpo,5,3,0.4
Health-ClosedIssues0008,hpo,5,3,0.4
Health-ClosedIssues0009,hpo,5,3,0.4
Health-ClosedIssues0010,hpo,5,3,0.4
Health-ClosedIssues0011,hpo,5,3,0.4
Health-ClosedPRs0000,hpo,5,3,0.4
Health-ClosedPRs0002,hpo,5,3,0.4
Health-ClosedPRs0003,hpo,5,3,0.4
Health-ClosedPRs0004,hpo,5,3,0.4
Health-ClosedPRs0005,hpo,5,3,0.4
Health-ClosedPRs0006,hpo,5,3,0.4
Health-ClosedPRs0007,hpo,5,3,0.4
Health-ClosedPRs0008,hpo,5,3,0.4
Health-ClosedPRs0009,hpo,5,3,0.4
Health-ClosedPRs0010,hpo,5,3,0.4
Health-ClosedPRs0011,hpo,5,3,0.4
Health-Commits0000,hpo,5,3,0.4
Health-Commits0001,hpo,5,3,0.4
Health-Commits0002,hpo,5,3,0.4
Health-Commits0003,hpo,5,3,0.4
Health-Commits0004,hpo,5,3,0.4
Health-Commits0005,hpo,5,3,0.4
Health-Commits0006,hpo,5,3,0.4
Health-Commits0007,hpo,5,3,0.4
Health-Commits0008,hpo,5,3,0.4
Health-Commits0009,hpo,5,3,0.4
Health-Commits0010,hpo,5,3,0.4
Health-Commits0011,hpo,5,3,0.4
auto93,misc,5,1,0.8
Car_price_cleaned,misc,38,2,0.9474
Wine_quality,misc,10,3,0.7
coc1000,process,20,7,0.65
nasa93dem,process,26,3,0.8846
pom3a,process,9,5,0.4444
pom3b,process,9,5,0.4444
pom3c,process,9,5,0.4444
pom3d,process,9,5,0.4444
xomo_flight,process,27,10,0.6296
xomo_ground,process,27,10,0.6296
xomo_osp,process,27,10,0.6296
xomo_osp2,process,27,9,0.6667
A2C_Acrobot,rl,11,4,0.6364
A2C_CartPole,rl,9,4,0.5556
accessories,sales_data,14,2,0.8571
dress-up,sales_data,20,3,0.85
Marketing_Analytics,sales_data,31,2,0.9355
socks,sales_data,20,15,0.25
wallpaper,sales_data,23,3,0.8696
7z,systems,14,3,0.7857
BDBC,systems,16,5,0.6875
dconvert,systems,18,2,0.8889
deeparch,systems,12,6,0.5
exastencils,systems,12,2,0.8333
HSQLDB,systems,18,4,0.7778
javagc,systems,35,2,0.9429
LLVM,systems,10,5,0.5
PostgreSQL,systems,9,2,0.7778
redis,systems,9,4,0.5556
storm,systems,12,6,0.5
x264,systems,17,3,0.8235
dataset120,test,9,1,0.8889
dataset600,test,9,1,0.8889
