dataset,group,R,I,DRR
anneal,classify,38,2,0.9474
anneal.orig,classify,38,2,0.9474
arrhythmia,classify,279,3,0.9892
audiology,classify,69,2,0.971
autos,classify,25,2,0.92
balance.scale,classify,4,1,0.75
breast.cancer,classify,9,2,0.7778
breast.w,classify,9,4,0.5556
breastcancer,classify,10,2,0.8
bridges.version1,classify,12,2,0.8333
bridges.version2,classify,12,2,0.8333
car,classify,6,1,0.8333
cmc,classify,9,2,0.7778
colic,classify,22,4,0.8182
colic.orig,classify,27,3,0.8889
column2C,classify,6,2,0.6667
column3C,classify,6,2,0.6667
COMPAS53,classify,52,3,0.9423
credit.a,classify,15,3,0.8
credit.g,classify,20,4,0.8
cylinder.bands,classify,39,4,0.8974
dermatology,classify,34,2,0.9412
diabetes,classify,8,3,0.625
ecoli,classify,7,2,0.7143
flags,classify,29,3,0.8966
german,classify,20,4,0.8
glass,classify,9,1,0.8889
haberman,classify,3,2,0.3333
heart.c,classify,13,3,0.7692
heart.h,classify,13,2,0.8462
heart.statlog,classify,13,3,0.7692
hepatitis,classify,19,2,0.8947
hypothyroid,classify,29,2,0.931
ionosphere,classify,34,2,0.9412
iris,classify,4,1,0.75
kr.vs.kp,classify,36,3,0.9167
labor,classify,16,3,0.8125
letter,classify,16,3,0.8125
lymph,classify,18,3,0.8333
mnist_1,classify,784,4,0.9949
mushroom,classify,22,2,0.9091
nursery,classify,8,3,0.625
optdigits,classify,64,5,0.9219
page.blocks,classify,10,1,0.9
pendigits,classify,16,3,0.8125
postoperative.patient.data,classify,8,2,0.75
primary.tumor,classify,17,2,0.8824
segment,classify,19,2,0.8947
shuttle.landing.control,classify,6,2,0.6667
sick,classify,29,2,0.931
solar.flare1,classify,12,1,0.9167
solar.flare2,classify,12,1,0.9167
sonar,classify,60,4,0.9333
soybean,classify,35,2,0.9429
spambase,classify,56,2,0.9643
spect.test,classify,22,2,0.9091
spect.train,classify,22,1,0.9545
spectf.test,classify,44,3,0.9318
spectf.train,classify,44,4,0.9091
spectrometer,classify,102,2,0.9804
splice,classify,61,14,0.7705
sponge,classify,45,2,0.9556
tae,classify,5,2,0.6
tic-tac-toe,classify,9,3,0.6667
trains,classify,32,6,0.8125
vehicle,classify,18,2,0.8889
vote,classify,16,2,0.875
vowel,classify,13,3,0.7692
waveform5000,classify,40,8,0.8
weather,classify,4,3,0.25
weathernom,classify,4,4,0.0
wine,classify,13,2,0.8462
zoo,classify,17,2,0.8824
adult,fairness,14,3,0.7857
bank,fairness,16,3,0.8125
communities,fairness,100,3,0.97
compas,fairness,9,2,0.7778
german,fairness,20,4,0.8
law,fairness,11,2,0.8182
auto93,optimize/misc,5,1,0.8
Car_price_cleaned,optimize/misc,38,2,0.9474
single_wine_quality,optimize/misc,11,3,0.7273
Wine_quality,optimize/misc,10,3,0.7
2dplanes,regression,10,6,0.4
abalone,regression,8,1,0.875
ailerons,regression,40,2,0.95
auto93,regression,22,2,0.9091
autohorse,regression,25,2,0.92
autompg,regression,7,2,0.7143
autoprice,regression,15,2,0.8667
bank32nh,regression,32,9,0.7188
bank8FM,regression,8,3,0.625
baskball,regression,4,2,0.5
bodyfat,regression,14,2,0.8571
bolts,regression,7,2,0.7143
breasttumor,regression,9,2,0.7778
cal.housing,regression,8,2,0.75
cholesterol,regression,13,3,0.7692
cleveland,regression,13,3,0.7692
cloud,regression,6,2,0.6667
cpu,regression,7,2,0.7143
cpu.act,regression,21,2,0.9048
cpu.small,regression,12,2,0.8333
delta.ailerons,regression,5,1,0.8
delta.elevators,regression,6,1,0.8333
detroit,regression,13,2,0.8462
diabetes.numeric,regression,2,1,0.5
echomonths,regression,9,2,0.7778
elevators,regression,18,2,0.8889
elusage,regression,2,1,0.5
fishcatch,regression,7,1,0.8571
fried,regression,10,5,0.5
fruitfly,regression,4,2,0.5
gascons,regression,4,1,0.75
house16H,regression,16,2,0.875
house8L,regression,8,2,0.75
housing,regression,13,2,0.8462
hungarian,regression,13,2,0.8462
kin8nm,regression,8,4,0.5
longley,regression,6,1,0.8333
lowbwt,regression,9,2,0.7778
machine.cpu,regression,6,1,0.8333
mbagrade,regression,2,2,0.0
meta,regression,21,2,0.9048
mv,regression,10,3,0.7
pbc,regression,18,2,0.8889
pharynx,regression,11,3,0.7273
pol,regression,48,2,0.9583
pollution,regression,15,2,0.8667
puma32H,regression,32,11,0.6562
puma8NH,regression,8,4,0.5
pwlinear,regression,10,4,0.6
pyrim,regression,27,2,0.9259
quake,regression,3,1,0.6667
schlvote,regression,5,2,0.6
sensory,regression,11,2,0.8182
servo,regression,4,1,0.75
sleep,regression,7,1,0.8571
stock,regression,9,1,0.8889
strike,regression,6,3,0.5
triazines,regression,60,2,0.9667
veteran,regression,7,2,0.7143
vineyard,regression,3,1,0.6667
wisconsin,regression,32,3,0.9062
