task,path,n_rows,n_used,R,I_fit,fit_r2,fit_n_radii,fit_degree,fit_argmax_frac,I_linear,I_maxgrad,drr_fit,drr_maxgrad,seed,runtime_s,status
behavior_data/WA_Fn-UseC_-HR-Employee-Attrition.csv,data/moot/optimize/behavior_data/WA_Fn-UseC_-HR-Employee-Attrition.csv,1470,1470,32,11.6625,1.0,60,3,0.1053,11.1666,16.5129,0.6355,0.484,42,0.21,ok
behavior_data/all_players.csv,data/moot/optimize/behavior_data/all_players.csv,17737,2000,55,13.6829,1.0,60,3,0.0,8.4003,39.9967,0.7512,0.2728,42,0.87,ok
behavior_data/player_statistics_cleaned_final.csv,data/moot/optimize/behavior_data/player_statistics_cleaned_final.csv,81,81,26,5.9229,0.9987,60,3,0.1855,5.3308,14.0221,0.7722,0.4607,42,0.01,ok
behavior_data/student_dropout.csv,data/moot/optimize/behavior_data/student_dropout.csv,649,649,33,12.5888,1.0,60,3,0.0,11.0988,11.9033,0.6185,0.6393,42,0.05,ok
binary_config/FFM-1000-200-0.50-SAT-1.csv,data/moot/optimize/binary_config/FFM-1000-200-0.50-SAT-1.csv,10000,2000,1044,9.5417,1.0,3,1,0.0,9.5417,29.2651,0.9909,0.972,42,9.06,ok
binary_config/FFM-125-25-0.50-SAT-1.csv,data/moot/optimize/binary_config/FFM-125-25-0.50-SAT-1.csv,10000,2000,128,8.2797,0.9685,4,1,0.0,8.2797,29.5698,0.9353,0.769,42,1.16,ok
binary_config/FFM-250-50-0.50-SAT-1.csv,data/moot/optimize/binary_config/FFM-250-50-0.50-SAT-1.csv,10000,2000,256,9.525,0.9994,3,1,0.0,9.525,29.0815,0.9628,0.8864,42,2.25,ok
binary_config/FFM-500-100-0.50-SAT-1.csv,data/moot/optimize/binary_config/FFM-500-100-0.50-SAT-1.csv,10000,2000,510,8.5701,0.9912,4,1,0.0,8.5701,27.7178,0.9832,0.9457,42,4.42,ok
binary_config/FM-500-100-0.25-SAT-1.csv,data/moot/optimize/binary_config/FM-500-100-0.25-SAT-1.csv,10000,2000,517,8.6914,0.9897,4,1,0.0,8.6914,27.1843,0.9832,0.9474,42,4.5,ok
binary_config/FM-500-100-0.50-SAT-1.csv,data/moot/optimize/binary_config/FM-500-100-0.50-SAT-1.csv,10000,2000,513,8.478,0.9873,3,1,0.0,8.478,29.5168,0.9835,0.9425,42,4.49,ok
binary_config/FM-500-100-0.75-SAT-1.csv,data/moot/optimize/binary_config/FM-500-100-0.75-SAT-1.csv,10000,2000,511,9.525,0.9994,3,1,0.0,9.525,29.2029,0.9814,0.9429,42,4.47,ok
