target,feature,kind,n,spearman_rho,p_raw,p_holm
score,landmark_10_med,exploratory,127,-0.7209469916961142,1.2091933254053893e-21,2.176547985729701e-20
score,d2h_var,exploratory,127,-0.614174976848505,1.6038391373155924e-14,2.726526533436507e-13
score,landmark_10_iqr,exploratory,127,0.578419490873603,1.0659842057230127e-12,1.7055747291568203e-11
score,nb_auc_med,confirmatory,127,-0.41667253907293605,1.1007652095457268e-06,1.65114781431859e-05
score,n_y,exploratory,127,0.3989036863715891,3.3960669969288933e-06,4.754493795700451e-05
score,n_rows,exploratory,127,0.2699942691016932,0.0021418923074451876,0.02784459999678744
score,smoothness,exploratory,127,-0.2652856500208903,0.00257607997341694,0.030912959681003282
score,fdc,confirmatory,127,-0.24077295123499706,0.006395554615588323,0.07035110077147155
score,linear_r2,exploratory,127,-0.23094267339293736,0.008994284037678331,0.08994284037678331
score,y_corr_mean,exploratory,98,0.1732714368631101,0.08796659217933833,0.791699329614045
score,n_x,exploratory,127,0.08660239284920856,0.3329794007476533,1.0
score,sym_ratio,exploratory,127,0.02160060591773071,0.8095181163408711,1.0
score,missing_density,exploratory,127,-0.05002683182309477,0.5764692562831752,1.0
score,eff_rank_x,exploratory,127,0.13169912520376306,0.13996108492968315,1.0
score,cca_1,exploratory,126,0.038314365976758684,0.6701458028518105,1.0
score,d2h_skew,exploratory,127,-0.008066406717445644,0.9282820926753403,1.0
score,d2h_tail_gap,confirmatory,126,0.120853374013759,0.1776576481282729,1.0
score,nb_auc_iqr,exploratory,127,0.10922335038845218,0.22156577013668155,1.0
stability,d2h_skew,exploratory,127,0.4549133943032801,7.741986625887612e-08,1.39355759265977e-06
stability,n_y,exploratory,127,-0.4455512976868355,1.5285651331393284e-07,2.5985607263368583e-06
stability,d2h_tail_gap,confirmatory,126,-0.4166000090556613,1.2211512760460588e-06,1.953842041673694e-05
stability,n_rows,exploratory,127,-0.27827910303550224,0.001535678467984241,0.023035177019763615
stability,n_x,exploratory,127,-0.20427200036387527,0.021244347306242892,0.2974208622874005
stability,cca_1,exploratory,126,-0.1767018873607394,0.04778113754659797,0.6211547881057736
stability,linear_r2,exploratory,127,-0.16473166187694316,0.0642068002785555,0.770481603342666
stability,fdc,confirmatory,127,-0.16270828438895685,0.06759476070051074,0.770481603342666
stability,landmark_10_iqr,exploratory,127,-0.15495487260988247,0.08194514628586046,0.8194514628586046
stability,sym_ratio,exploratory,127,-0.03487107326544615,0.6971208523249445,1.0
stability,missing_density,exploratory,127,-0.08159802092874976,0.3617724517943944,1.0
stability,eff_rank_x,exploratory,127,-0.1377493839269373,0.1224963330689621,1.0
stability,y_corr_mean,exploratory,98,0.055935296413532745,0.5843408992344502,1.0
stability,smoothness,exploratory,127,0.1272931920252678,0.15382613086306307,1.0
stability,d2h_var,exploratory,127,0.07454480790822185,0.40488370644177274,1.0
stability,nb_auc_med,confirmatory,127,0.07056988299747628,0.4304612792186058,1.0
stability,nb_auc_iqr,exploratory,127,0.05555324879424399,0.5350322399713072,1.0
stability,landmark_10_med,exploratory,127,0.11927247303900637,0.18167494510239812,1.0
