target,feature,kind,n,spearman_rho,p_raw,p_holm
score,landmark_10_med,exploratory,127,-0.8655255904501943,2.3947064813689705e-39,4.310471666464147e-38
score,d2h_var,exploratory,127,-0.7576879574558163,6.352182693839753e-25,1.079871057952758e-23
score,landmark_10_iqr,exploratory,127,0.5936985409847286,1.8896751401641038e-13,3.023480224262566e-12
score,n_y,exploratory,127,0.5235352043697076,2.6930455531670715e-10,4.039568329750608e-09
score,nb_auc_med,confirmatory,127,-0.3938327848058345,4.629327006089255e-06,6.481057808524958e-05
score,n_rows,exploratory,127,0.26522781775601667,0.0025818745869015326,0.03345244232928264
score,fdc,confirmatory,127,-0.2653137889144568,0.0025732647945602032,0.03345244232928264
score,smoothness,exploratory,127,-0.22329009185235604,0.011622082095290788,0.12784290304819868
score,missing_density,exploratory,127,-0.19677059591956658,0.026603188928427814,0.2660318892842781
score,eff_rank_x,exploratory,127,0.19584772334837622,0.02733604938343767,0.2660318892842781
score,cca_1,exploratory,126,0.1687931628149837,0.05883879603078383,0.47071036824627066
score,n_x,exploratory,127,0.1556099509047643,0.08064526675510937,0.5645168672857656
score,y_corr_mean,exploratory,98,0.17366573745926406,0.08723524805470197,0.5645168672857656
score,nb_auc_iqr,exploratory,127,0.13074337912231945,0.14288497539881406,0.7144248769940703
score,sym_ratio,exploratory,127,0.10268794666489918,0.2506251590248071,0.7266301648361707
score,linear_r2,exploratory,127,-0.11927719177285888,0.18165754120904268,0.7266301648361707
score,d2h_skew,exploratory,127,-0.04224357880351037,0.6372376297520994,0.7266301648361707
score,d2h_tail_gap,confirmatory,126,0.10740775692832479,0.23126764550252416,0.7266301648361707
stability,smoothness,exploratory,127,0.6097002616661004,2.7915985495191125e-14,5.024877389134402e-13
stability,landmark_10_iqr,exploratory,127,-0.45257905520973046,9.190631113433686e-08,1.5624072892837267e-06
stability,d2h_var,exploratory,127,0.39978710074226553,3.215954022021228e-06,5.145526435233965e-05
stability,landmark_10_med,exploratory,127,0.3924993453495459,5.0179894456759575e-06,7.526984168513936e-05
stability,n_x,exploratory,127,-0.38524694060432024,7.732345369610398e-06,0.00010825283517454556
stability,nb_auc_med,confirmatory,127,0.36662941680178107,2.2407744651846977e-05,0.0002913006804740107
stability,eff_rank_x,exploratory,127,-0.3370835471645722,0.00010652671366313079,0.0012783205639575696
stability,y_corr_mean,exploratory,98,-0.3772407577596937,0.00012863390558748126,0.001414972961462294
stability,linear_r2,exploratory,127,0.3313638426525137,0.00014154694075369369,0.0014154694075369369
stability,n_y,exploratory,127,-0.2561080866532758,0.0036574349812689205,0.032916914831420285
stability,d2h_tail_gap,confirmatory,126,-0.19150940406459482,0.031698795982526236,0.2535903678602099
stability,n_rows,exploratory,127,-0.18079735289115648,0.04193823884304927,0.2935676719013449
stability,missing_density,exploratory,127,-0.12657353240287406,0.1561855818737189,0.8516246282186949
stability,fdc,confirmatory,127,0.13105146593521091,0.14193743803644915,0.8516246282186949
stability,sym_ratio,exploratory,127,0.07306727371219936,0.4142846463610299,1.0
stability,cca_1,exploratory,126,0.07015520644344143,0.4350351994371987,1.0
stability,d2h_skew,exploratory,127,0.05550680115584382,0.5353742218564347,1.0
stability,nb_auc_iqr,exploratory,127,-0.07043287972035607,0.43135905987115897,1.0
