task_id,task,path,group,n_rows,n_used,R,I,drr,seed,drr_version,drr_commit,drr_dirty,status
behavior_data__WA_Fn-UseC_-HR-Employee-Attrition,WA_Fn-UseC_-HR-Employee-Attrition,data/moot/optimize/behavior_data/WA_Fn-UseC_-HR-Employee-Attrition.csv,behavior_data,1470,1470,32,6.0,0.8125,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
behavior_data__all_players,all_players,data/moot/optimize/behavior_data/all_players.csv,behavior_data,17737,5000,55,2.0,0.9636363636363636,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
behavior_data__player_statistics_cleaned_final,player_statistics_cleaned_final,data/moot/optimize/behavior_data/player_statistics_cleaned_final.csv,behavior_data,81,81,26,2.0,0.9230769230769231,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
behavior_data__student_dropout,student_dropout,data/moot/optimize/behavior_data/student_dropout.csv,behavior_data,649,649,33,5.0,0.8484848484848485,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
binary_config__FFM-1000-200-0.50-SAT-1,FFM-1000-200-0.50-SAT-1,data/moot/optimize/binary_config/FFM-1000-200-0.50-SAT-1.csv,binary_config,10000,5000,1044,7.0,0.9932950191570882,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
binary_config__FFM-125-25-0.50-SAT-1,FFM-125-25-0.50-SAT-1,data/moot/optimize/binary_config/FFM-125-25-0.50-SAT-1.csv,binary_config,10000,5000,128,4.0,0.96875,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
binary_config__FFM-250-50-0.50-SAT-1,FFM-250-50-0.50-SAT-1,data/moot/optimize/binary_config/FFM-250-50-0.50-SAT-1.csv,binary_config,10000,5000,256,6.0,0.9765625,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
binary_config__FFM-500-100-0.50-SAT-1,FFM-500-100-0.50-SAT-1,data/moot/optimize/binary_config/FFM-500-100-0.50-SAT-1.csv,binary_config,10000,5000,510,6.0,0.9882352941176471,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
binary_config__FM-500-100-0.25-SAT-1,FM-500-100-0.25-SAT-1,data/moot/optimize/binary_config/FM-500-100-0.25-SAT-1.csv,binary_config,10000,5000,517,7.0,0.9864603481624759,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
binary_config__FM-500-100-0.50-SAT-1,FM-500-100-0.50-SAT-1,data/moot/optimize/binary_config/FM-500-100-0.50-SAT-1.csv,binary_config,10000,5000,513,2.0,0.9961013645224172,42,0.1.dev36+gdefce441c.d20260809,defce44,True,ok
