task_id,group,winner,dehb_beat_floor,ezr_beat_floor,n_decisions,rows,objective,coverage,x_dup_rate,med_ezr,med_dehb,R,I,drr,drr_commit,drr_dirty
behavior_data__WA_Fn-UseC_-HR-Employee-Attrition,behavior_data,dehb,True,False,32,1470,multi,-97.61,0.0,0.42691756404373854,0.3033650472478855,32.0,6.0,0.8125,defce44,True
behavior_data__all_players,behavior_data,dehb,True,True,55,17737,multi,-258.48,0.0,0.17625330513678028,0.11176291779419852,55.0,2.0,0.9636363636363636,defce44,True
behavior_data__player_statistics_cleaned_final,behavior_data,tie,True,False,26,81,single,-96.61,0.0,0.11239179954441925,0.11586560364464704,26.0,2.0,0.9230769230769232,defce44,True
behavior_data__student_dropout,behavior_data,tie,False,False,33,649,single,-56.22,0.0,0.0,0.0,33.0,5.0,0.8484848484848485,defce44,True
binary_config__FFM-1000-200-0.50-SAT-1,binary_config,dehb,True,False,1044,10000,multi,-0.71,0.0,0.41792660741761317,0.25338465033364693,1044.0,7.0,0.9932950191570882,defce44,True
binary_config__FFM-125-25-0.50-SAT-1,binary_config,dehb,True,False,128,10000,multi,-13.71,0.0,0.3077825695244859,0.20643726405030027,128.0,4.0,0.96875,defce44,True
binary_config__FFM-250-50-0.50-SAT-1,binary_config,dehb,True,True,256,10000,multi,-0.71,0.0,0.38600655982321447,0.34110460656197594,256.0,6.0,0.9765625,defce44,True
binary_config__FFM-500-100-0.50-SAT-1,binary_config,dehb,True,True,510,10000,multi,-4.71,0.0,0.3414888684319136,0.26415278526830954,510.0,6.0,0.9882352941176472,defce44,True
binary_config__FM-500-100-0.25-SAT-1,binary_config,dehb,True,True,517,10000,multi,-7.71,0.0,0.38084589341321773,0.31967657104833347,517.0,7.0,0.986460348162476,defce44,True
binary_config__FM-500-100-0.50-SAT-1,binary_config,dehb,True,True,513,10000,multi,-6.71,0.0,0.3357226102311373,0.25860472035672244,513.0,2.0,0.9961013645224172,defce44,True
binary_config__FM-500-100-0.75-SAT-1,binary_config,dehb,True,True,511,10000,multi,-0.71,0.0,0.35232445594848694,0.24238084418566708,511.0,7.0,0.9863013698630136,defce44,True
binary_config__FM-500-100-1.00-SAT-1,binary_config,dehb,True,False,511,10000,multi,-1.71,0.0,0.3286792213767802,0.2835925607055975,511.0,9.0,0.9823874755381604,defce44,True
binary_config__Scrum100k,binary_config,dehb,True,False,124,100000,multi,-4.39,0.0,0.38994000050400557,0.3018407423766769,124.0,6.0,0.9516129032258064,defce44,True
binary_config__Scrum10k,binary_config,dehb,True,False,124,10000,multi,-4.71,0.0,0.34439363988157545,0.2784334867418832,124.0,2.0,0.9838709677419356,defce44,True
binary_config__Scrum1k,binary_config,dehb,True,True,124,1000,multi,-3.03,0.0,0.30811017250114836,0.24950130315693406,124.0,5.0,0.9596774193548387,defce44,True
binary_config__billing10k,binary_config,dehb,True,True,88,10000,multi,-0.71,0.0,0.3946233358533475,0.34438606918040693,88.0,7.0,0.9204545454545454,defce44,True
config__Apache_AllMeasurements,config,tie,False,True,9,192,single,-0.42,0.0,0.00758333333333332,0.0054999999999999875,9.0,4.0,0.5555555555555556,defce44,True
config__HSMGP_num,config,dehb,False,False,14,3456,single,-4.86,0.0,0.004316293245603729,3.932703911407387e-05,14.0,3.0,0.7857142857142857,defce44,True
config__SQL_AllMeasurements,config,dehb,False,False,38,4653,single,-25.99,0.112,0.21177797316547092,0.17406779348244256,38.0,3.0,0.9210526315789472,defce44,True
config__SS-A,config,dehb,False,True,3,1343,multi,-0.06,0.0,0.033255045573225964,0.003386915817702009,3.0,1.0,0.6666666666666667,defce44,True
config__SS-B,config,dehb,False,True,3,206,multi,-1.71,0.0,0.03270040134604026,0.03270040134604026,3.0,2.0,0.3333333333333333,defce44,True
config__SS-C,config,dehb,True,False,3,1512,multi,0.0,0.0,0.07383393105290506,0.023231329625611905,3.0,1.0,0.6666666666666667,defce44,True
config__SS-D,config,dehb,False,False,3,196,multi,0.0,0.0,0.4106509812242143,0.3357903951444301,3.0,1.0,0.6666666666666667,defce44,True
config__SS-E,config,dehb,False,False,3,756,multi,0.0,0.0,0.17107742867044606,0.13203645626352567,3.0,1.0,0.6666666666666667,defce44,True
config__SS-F,config,dehb,False,False,3,196,multi,0.0,0.0,0.4526364281255761,0.35606070224513414,3.0,1.0,0.6666666666666667,defce44,True
config__SS-G,config,dehb,False,False,3,196,multi,0.0,0.0,0.436749615661311,0.3508653764863472,3.0,1.0,0.6666666666666667,defce44,True
config__SS-H,config,dehb,False,True,4,259,multi,-0.11,0.0,0.22619008819827482,0.22578904804172406,4.0,2.0,0.5,defce44,True
config__SS-I,config,dehb,False,True,5,1080,multi,0.0,0.0,0.014016605322515498,0.004832199990137489,5.0,2.0,0.6,defce44,True
config__SS-J,config,dehb,False,False,6,3840,multi,0.0,0.0,0.06601997070327018,0.046281171037528046,6.0,2.0,0.6666666666666667,defce44,True
config__SS-K,config,dehb,False,False,6,2880,multi,0.0,0.0,0.11635505669516061,0.038302002617343914,6.0,2.0,0.6666666666666667,defce44,True
config__SS-L,config,dehb,False,True,11,1023,multi,-0.42,0.2493,0.17861880730306656,0.1638023810181699,11.0,9.0,0.1818181818181817,defce44,True
config__SS-M,config,dehb,False,False,17,864,multi,-5.25,0.0,0.004874438442355073,0.002372647309077918,17.0,4.0,0.7647058823529411,defce44,True
config__SS-N,config,dehb,True,True,17,53662,multi,-73.38,0.0263,0.1206637087497321,0.10566967749168898,17.0,3.0,0.8235294117647058,defce44,True
config__SS-O,config,dehb,False,False,11,972,multi,-1.83,0.0,0.17994428604814028,0.14296287672275954,11.0,4.0,0.6363636363636364,defce44,True
config__SS-P,config,dehb,False,True,11,1023,multi,-0.42,0.2493,0.18370713958523294,0.1638023810181699,11.0,9.0,0.1818181818181817,defce44,True
config__SS-Q,config,dehb,False,True,13,2736,multi,-3.34,0.0,0.05912122928878648,0.05018742935148218,13.0,3.0,0.7692307692307692,defce44,True
config__SS-R,config,dehb,False,False,14,3008,multi,-3.62,0.0,0.17829805464653387,0.15819622065366115,14.0,2.0,0.8571428571428572,defce44,True
config__SS-S,config,dehb,False,False,6,3840,multi,0.0,0.0,0.0192665442499087,0.002856824289597223,6.0,2.0,0.6666666666666667,defce44,True
config__SS-T,config,dehb,False,False,12,5184,multi,-3.42,0.0,0.03916168942061332,0.016132993086551577,12.0,3.0,0.75,defce44,True
config__SS-U,config,dehb,False,False,21,4608,multi,-4.83,0.0,0.24037049807236235,0.2300625753428522,21.0,5.0,0.7619047619047619,defce44,True
config__SS-V,config,dehb,True,False,16,6840,multi,-6.17,0.0,0.18630228161741252,0.010255703823111527,16.0,3.0,0.8125,defce44,True
config__SS-W,config,dehb,True,True,16,65536,multi,0.0,0.0,0.3030482933093106,0.14978750389250803,16.0,11.0,0.3125,defce44,True
config__SS-X,config,dehb,True,True,11,86058,multi,-2.93,0.0,0.21790024090783286,0.020358394680170557,11.0,2.0,0.8181818181818181,defce44,True
config__X264_AllMeasurements,config,dehb,False,False,16,1152,single,-2.83,0.0,0.0020805285486548935,4.971154495236438e-05,16.0,6.0,0.625,defce44,True
