group,task,rows,cols,x,y,ign,x+ign,x_num,x_sym
behavior_data,WA_Fn-UseC_-HR-Employee-Attrition,1470,35,32,3,0,32,23,9
behavior_data,all_players,17737,57,55,2,0,55,52,3
behavior_data,player_statistics_cleaned_final,81,27,26,1,0,26,26,0
behavior_data,student_dropout,649,34,33,1,0,33,16,17
binary_config,FFM-1000-200-0.50-SAT-1,10000,1047,1044,3,0,1044,3,1041
binary_config,FFM-125-25-0.50-SAT-1,10000,131,128,3,0,128,4,124
binary_config,FFM-250-50-0.50-SAT-1,10000,259,256,3,0,256,5,251
binary_config,FFM-500-100-0.50-SAT-1,10000,513,510,3,0,510,2,508
binary_config,FM-500-100-0.25-SAT-1,10000,520,517,3,0,517,7,510
binary_config,FM-500-100-0.50-SAT-1,10000,516,513,3,0,513,7,506
binary_config,FM-500-100-0.75-SAT-1,10000,514,511,3,0,511,7,504
binary_config,FM-500-100-1.00-SAT-1,10000,514,511,3,0,511,3,508
binary_config,Scrum100k,100000,127,124,3,0,124,0,124
binary_config,Scrum10k,10000,127,124,3,0,124,0,124
binary_config,Scrum1k,1000,127,124,3,0,124,0,124
binary_config,billing10k,10000,91,88,3,0,88,0,88
config,Apache_AllMeasurements,192,10,9,1,0,9,0,9
config,HSMGP_num,3456,15,14,1,0,14,3,11
config,SQL_AllMeasurements,4653,40,38,1,1,39,0,38
config,SS-A,1343,5,3,2,0,3,3,0
config,SS-B,206,5,3,2,0,3,3,0
config,SS-C,1512,5,3,2,0,3,3,0
config,SS-D,196,5,3,2,0,3,3,0
config,SS-E,756,5,3,2,0,3,3,0
config,SS-F,196,5,3,2,0,3,3,0
config,SS-G,196,5,3,2,0,3,3,0
config,SS-H,259,6,4,2,0,4,4,0
config,SS-I,1080,7,5,2,0,5,5,0
config,SS-J,3840,8,6,2,0,6,6,0
config,SS-K,2880,8,6,2,0,6,6,0
config,SS-L,1023,13,11,2,0,11,11,0
config,SS-M,864,20,17,3,0,17,0,17
config,SS-N,53662,19,17,2,0,17,17,0
config,SS-O,972,13,11,2,0,11,3,8
config,SS-P,1023,13,11,2,0,11,0,11
config,SS-Q,2736,16,13,3,0,13,4,9
config,SS-R,3008,16,14,2,0,14,3,11
config,SS-S,3840,8,6,2,0,6,6,0
config,SS-T,5184,14,12,2,0,12,3,9
config,SS-U,4608,23,21,2,0,21,0,21
config,SS-V,6840,18,16,2,0,16,1,15
config,SS-W,65536,18,16,2,0,16,0,16
config,SS-X,86058,13,11,2,0,11,0,11
config,X264_AllMeasurements,1152,17,16,1,0,16,0,16
config,rs-6d-c3_obj1,3840,7,6,1,0,6,6,0
