task,n_rows,n_x,n_y,sym_ratio,missing_density,eff_rank_x,cca_1,linear_r2,y_corr_mean,fdc,smoothness,d2h_var,d2h_skew,d2h_tail_gap,nb_auc_med,nb_auc_iqr,landmark_10_med,landmark_10_iqr,labels_used_total
7z,68640,14,1,0.7857142857142857,0.0,10.42427737774167,0.7196338475366321,0.7092925201859757,nan,0.12056770277708818,0.1110144103465833,0.054817186653724946,0.8876363941036501,0.29640101539274977,0.7253233168505135,0.2154811715481172,100.0,0.0,46
A2C_Acrobot,223,10,3,0.0,0.0,9.496544295223972,0.38729945714515357,-0.049504659887283406,-0.036595733017994424,0.14702358775012592,0.028748209458917286,0.01793951192873195,-0.42228128369427376,0.9680746037715393,0.536732929991357,0.16702679343128785,58.0,16.5,46
A2C_CartPole,317,7,4,0.0,0.0,6.941390382523989,0.7365127857809639,0.29173182955687754,0.014243279392853608,0.3111308926005761,0.13663019918844874,0.014505435455896873,-0.6608079528858033,1.0208007024346966,0.6895910780669146,0.11407992565055758,50.5,26.0,46
Apache_AllMeasurements,192,9,1,1.0,0.0,7.74260762017657,0.895696189662494,0.777303421755444,nan,0.5127059834474216,0.2913033225128027,0.09473085477390686,0.54915473496121,0.25383968545614977,0.8973817567567568,0.06686373873873874,100.0,0.0,46
BDBC,2560,16,1,1.0,0.0,13.88675966843701,0.8484334126976578,0.7765544875965404,nan,0.40061489542209894,0.22448708078663335,0.06877801708354606,1.0899129467667807,0.13287173404225855,0.7842573221757323,0.2015024724229746,100.0,0.0,46
BankChurners,10127,19,4,0.3157894736842105,0.0,25.077217540400767,0.8292582194668994,0.393421609332009,0.17817860712352152,0.25553080425595637,0.11576185445642559,0.021878472707827352,-0.7345927578634821,1.3001687304627454,0.7437713959680488,0.2473373906428299,60.5,29.0,46
Car_price_cleaned,205,38,5,0.02631578947368421,0.0,121.77013122273569,0.9999131462171511,0.6147984889138183,0.04098661847469471,0.4759716523304465,0.3846738276852241,0.013563812615177756,-0.7763613754288146,1.0926079309783892,0.8930288461538463,0.08401442307692297,57.0,55.0,46
Data_COVID19_Indonesia,21759,35,3,0.34285714285714286,0.0,6437.713847471162,0.9888313360130935,0.8707733841368379,0.5413305200448274,0.27741282788897365,0.19193585993585993,0.02641947337125105,-1.2774249393260024,1.2267372214695544,0.7530905287181437,0.29369532141498667,100.0,17.75,46
FFM-1000-200-0.50-SAT-1,10000,1044,3,0.9971264367816092,0.0,13.70949867804371,0.9999999999999992,0.7110980395106171,0.713139580136632,0.3760731981020366,0.12628597800383579,0.010968672189517517,-0.0024529072678811845,0.9058884625548596,0.776103081019399,0.13561477748193218,50.0,18.75,46
FFM-125-25-0.50-SAT-1,10000,128,3,0.96875,0.0,24.623069530882596,1.0,0.8329436069959177,0.42660222286349453,0.5393929588467711,0.13953202092603326,0.019472544032455966,-0.42146475124130484,1.1556022392327345,0.8455686572841384,0.05126711677443896,63.5,7.5,46
FFM-250-50-0.50-SAT-1,10000,256,3,0.98046875,0.0,13.7572125668598,0.9999999999999993,0.7560298023946155,0.6403875329655397,0.4653929451019058,0.1869195667017132,0.012314958845181924,-0.1226546489339088,0.988676471025735,0.8074838341574744,0.0930843476607075,59.5,32.25,46
FFM-500-100-0.50-SAT-1,10000,510,3,0.996078431372549,0.0,16.708681555234012,0.9999999999999998,0.8191336912443683,0.5344979112698937,0.6032616603452327,0.10844653729121354,0.01929897862875551,-0.23650442455073303,1.017066365946861,0.8701502472422975,0.057067801445416455,61.0,15.25,46
