task,score,stability
7z,3.8,54.0
A2C_Acrobot,23.82,0.0
A2C_CartPole,52.33,2.0
Apache_AllMeasurements,6.21,16.0
BDBC,1.18,56.0
BankChurners,28.19,21.0
Car_price_cleaned,21.39,6.0
Data_COVID19_Indonesia,24.18,57.0
FFM-1000-200-0.50-SAT-1,25.65,3.0
FFM-125-25-0.50-SAT-1,23.37,0.0
FFM-250-50-0.50-SAT-1,25.48,0.0
FFM-500-100-0.50-SAT-1,25.02,0.0
FM-500-100-0.25-SAT-1,26.92,6.0
FM-500-100-0.50-SAT-1,30.17,1.0
FM-500-100-0.75-SAT-1,28.61,3.0
FM-500-100-1.00-SAT-1,23.58,0.0
HSMGP_num,3.62,49.0
HSQLDB,1.05,36.0
Health-ClosedIssues0000,16.45,68.0
Health-ClosedIssues0001,50.31,0.0
Health-ClosedIssues0002,20.28,0.0
Health-ClosedIssues0003,24.48,37.0
Health-ClosedIssues0004,52.91,26.0
Health-ClosedIssues0005,33.01,0.0
Health-ClosedIssues0006,22.86,0.0
Health-ClosedIssues0007,77.13,40.0
Health-ClosedIssues0008,22.18,0.0
Health-ClosedIssues0009,64.32,42.0
Health-ClosedIssues0010,66.52,1.0
Health-ClosedIssues0011,0.0,0.0
Health-ClosedPRs0000,0.0,100.0
Health-ClosedPRs0002,0.0,0.0
Health-ClosedPRs0003,1.18,0.0
Health-ClosedPRs0004,0.0,0.0
Health-ClosedPRs0005,0.0,0.0
Health-ClosedPRs0006,67.08,52.0
Health-ClosedPRs0007,0.0,17.0
Health-ClosedPRs0008,48.12,34.0
Health-ClosedPRs0009,53.79,3.0
Health-ClosedPRs0010,55.41,0.0
Health-ClosedPRs0011,0.0,1.0
Health-Commits0000,19.82,88.0
Health-Commits0001,3.39,0.0
Health-Commits0002,54.11,0.0
Health-Commits0003,43.12,0.0
Health-Commits0004,59.69,52.0
Health-Commits0005,17.19,20.0
Health-Commits0006,35.41,0.0
Health-Commits0007,26.04,31.0
Health-Commits0008,46.71,2.0
Health-Commits0009,22.06,0.0
Health-Commits0010,30.92,0.0
Health-Commits0011,0.0,0.0
LLVM,8.46,36.0
Life_Expectancy_Data,12.55,11.0
Loan,42.94,1.0
Marketing_Analytics,28.07,0.0
Medical_Data_and_Hospital_Readmissions,0.0,0.0
PostgreSQL,4.33,11.0
SQL_AllMeasurements,26.74,15.0
SS-A,8.33,61.0
SS-B,9.43,53.0
SS-C,11.72,68.0
SS-D,24.27,14.0
SS-E,25.91,54.0
SS-F,19.46,22.0
SS-G,20.26,16.0
SS-H,8.03,63.0
SS-I,15.05,25.0
SS-J,29.35,5.0
SS-K,31.77,38.0
SS-L,3.1,63.0
SS-M,1.07,9.0
SS-N,52.4,18.0
SS-O,13.9,0.0
SS-P,5.47,0.0
SS-Q,3.97,0.0
SS-R,17.74,1.0
SS-S,3.59,57.0
SS-T,3.93,7.0
SS-U,5.58,0.0
SS-V,21.31,0.0
SS-W,46.17,12.0
SS-X,39.04,26.0
Scrum100k,33.87,0.0
Scrum10k,25.62,0.0
Scrum1k,20.0,4.0
WA_Fn-UseC_-HR-Employee-Attrition,22.19,1.0
WA_Fn-UseC_-Telco-Customer-Churn,1.83,1.0
Wine_quality,33.83,0.0
X264_AllMeasurements,2.49,11.0
accessories,87.54,90.0
all_players,25.94,0.0
auto93,15.04,29.0
billing10k,24.21,1.0
coc1000,23.22,0.0
dataset120,14.31,3.0
dataset600,14.76,0.0
dconvert,8.88,17.0
deeparch,7.18,21.0
dress-up,74.11,88.0
exastencils,15.87,24.0
home_data_for_ml_course,40.25,1.0
javagc,5.05,52.0
nasa93dem,18.48,17.0
player_statistics_cleaned_final,10.3,24.0
pom3a,25.67,0.0
pom3b,22.59,0.0
pom3c,36.0,0.0
pom3d,16.48,0.0
redis,48.53,0.0
rs-6d-c3_obj1,1.14,57.0
rs-6d-c3_obj2,0.89,55.0
socks,6.26,24.0
sol-6d-c2-obj1,4.85,31.0
storm,0.81,2.0
student_dropout,0.0,89.0
wallpaper,40.58,27.0
wc+rs-3d-c4-obj1,1.28,32.0
wc+sol-3d-c4-obj1,1.05,51.0
wc+wc-3d-c4-obj1,0.74,51.0
wc-6d-c1-obj1,2.22,5.0
x264,46.7,11.0
xomo_flight,13.18,1.0
xomo_ground,19.64,0.0
xomo_osp,17.28,0.0
xomo_osp2,18.38,0.0
