task,score,stability
7z,3.66,53
A2C_Acrobot,13.3,0
A2C_CartPole,24.35,0
Apache_AllMeasurements,0.0,88
BDBC,0.84,50
BankChurners,22.95,1
Car_price_cleaned,21.97,23
Data_COVID19_Indonesia,3.7,61
FFM-1000-200-0.50-SAT-1,29.04,0
FFM-125-25-0.50-SAT-1,19.72,5
FFM-250-50-0.50-SAT-1,19.22,0
FFM-500-100-0.50-SAT-1,17.44,3
FM-500-100-0.25-SAT-1,20.87,0
FM-500-100-0.50-SAT-1,22.31,0
FM-500-100-0.75-SAT-1,18.54,0
FM-500-100-1.00-SAT-1,19.1,0
HSMGP_num,2.28,79
HSQLDB,0.63,82
Health-ClosedIssues0000,1.87,81
Health-ClosedIssues0001,36.58,0
Health-ClosedIssues0002,6.45,100
Health-ClosedIssues0003,16.91,28
Health-ClosedIssues0004,55.39,8
Health-ClosedIssues0005,22.28,68
Health-ClosedIssues0006,8.89,13
Health-ClosedIssues0007,44.29,36
Health-ClosedIssues0008,17.58,1
Health-ClosedIssues0009,40.36,43
Health-ClosedIssues0010,21.84,0
Health-ClosedIssues0011,0.0,66
Health-ClosedPRs0000,0.0,40
Health-ClosedPRs0002,18.44,100
Health-ClosedPRs0003,2.17,100
Health-ClosedPRs0004,0.0,92
Health-ClosedPRs0005,0.0,96
Health-ClosedPRs0006,24.35,33
Health-ClosedPRs0007,0.0,68
Health-ClosedPRs0008,76.07,66
Health-ClosedPRs0009,40.35,12
Health-ClosedPRs0010,48.02,34
Health-ClosedPRs0011,0.0,100
Health-Commits0000,1.96,87
Health-Commits0001,1.53,100
Health-Commits0002,63.23,81
Health-Commits0003,15.48,50
Health-Commits0004,41.47,51
Health-Commits0005,26.41,0
Health-Commits0006,18.86,0
Health-Commits0007,7.39,25
Health-Commits0008,25.11,2
Health-Commits0009,4.39,26
Health-Commits0010,20.45,17
Health-Commits0011,0.0,69
LLVM,0.92,24
Life_Expectancy_Data,3.37,11
Loan,18.5,0
Marketing_Analytics,26.63,0
Medical_Data_and_Hospital_Readmissions,0.0,0
PostgreSQL,3.11,43
SQL_AllMeasurements,7.31,0
SS-A,3.02,54
SS-B,0.22,53
SS-C,2.63,70
SS-D,10.89,41
SS-E,5.2,10
SS-F,11.01,24
SS-G,11.63,43
SS-H,1.64,67
SS-I,0.5,12
SS-J,2.09,11
SS-K,4.53,19
SS-L,1.4,31
SS-M,0.87,75
SS-N,13.43,15
SS-O,9.96,1
SS-P,1.66,53
SS-Q,1.38,100
SS-R,18.4,35
SS-S,2.67,43
SS-T,1.97,27
SS-U,4.53,58
SS-V,7.2,63
SS-W,17.38,0
SS-X,6.4,49
Scrum100k,26.68,0
Scrum10k,20.2,0
Scrum1k,9.58,1
WA_Fn-UseC_-HR-Employee-Attrition,6.22,1
WA_Fn-UseC_-Telco-Customer-Churn,0.95,24
Wine_quality,26.18,0
X264_AllMeasurements,0.81,90
accessories,72.83,11
all_players,9.17,2
auto93,1.99,25
billing10k,19.31,0
coc1000,19.82,0
dataset120,0.0,0
dataset600,0.0,2
dconvert,2.7,33
deeparch,0.59,46
dress-up,33.66,17
exastencils,7.43,6
home_data_for_ml_course,40.49,0
javagc,5.51,56
nasa93dem,5.54,100
player_statistics_cleaned_final,3.16,100
pom3a,9.36,0
pom3b,10.63,0
pom3c,19.43,0
pom3d,5.61,0
redis,7.25,0
rs-6d-c3_obj1,0.63,37
rs-6d-c3_obj2,0.92,62
socks,0.0,66
sol-6d-c2-obj1,3.02,18
storm,0.71,46
student_dropout,0.0,78
wallpaper,21.13,4
wc+rs-3d-c4-obj1,0.63,32
wc+sol-3d-c4-obj1,0.59,27
wc+wc-3d-c4-obj1,0.55,28
wc-6d-c1-obj1,0.81,16
x264,3.07,4
xomo_flight,1.53,8
xomo_ground,6.68,1
xomo_osp,5.49,0
xomo_osp2,12.5,0
