dataset,domain,n_rows,n_x,n_y,n_pairs,x_var_mean,x_var_std,x_var_min,x_var_max,corr_mean,corr_std,corr_min,corr_max,y_var_mean,y_var_std,y_var_min,y_var_max,performance_rmse,ezr_stability_agreement,stability_jaccard_mean,stability_jaccard_min,stability_jaccard_max
WA_Fn-UseC_-HR-Employee-Attrition,behavior_data,1470,32,3,496,0.5656382198113087,0.23821323573919448,0.0,0.96,0.06556899376073375,0.1375172367652603,0.0004486707219197269,0.9502999134798473,0.37609793000068326,0.0499064081564481,0.3062220472896853,0.4196379132147252,15.96,1.0,0.2377,0.0,0.6667
all_players,behavior_data,17737,55,2,1485,0.29954965503648606,0.19763742120782035,0.0,1.0,0.4037280737162784,0.2898566384937796,5.8144434173034635e-11,1.0,0.37101825306422653,0.010978814357534034,0.36003943870669247,0.38199706742176054,17.14,0.0,0.1039,0.0,0.375
player_statistics_cleaned_final,behavior_data,81,26,1,325,0.38056867288357216,0.22220048873391948,0.0,0.6378886745990107,0.33301263807863973,0.29718884131324796,0.000431079541893123,0.9847552947629591,0.4027824964425065,0.0,0.4027824964425065,0.4027824964425065,6.58,43.0,0.2409,0.0,0.625
student_dropout,behavior_data,649,33,1,528,0.6062814869275295,0.23186736535635036,0.2259253895408606,0.9991429270110945,0.1016096557509285,0.10751630092199999,6.077489938230663e-05,0.9185480035603523,0.7220569808234196,0.0,0.7220569808234196,0.7220569808234196,0.0,100.0,0.3759,0.1111,0.8
FFM-1000-200-0.50-SAT-1,binary_config,10000,1044,3,544446,0.01298830712643678,0.1119580236715695,0.0,1.0,0.020361817701763187,0.053442047342001656,0.0,0.40273861426601687,0.3428585225454785,0.029502940990931,0.3189238101713556,0.3844228793972617,19.8,0.0,0.4254,0.1,1.0
FFM-125-25-0.50-SAT-1,binary_config,10000,128,3,8128,0.11251,0.2651246910717747,0.0,1.0,0.03363641747604828,0.056196122080611234,0.0,0.3482582187534965,0.3882404933706128,0.04209834301002951,0.3308827995554496,0.4307387811655691,20.35,0.0,0.4333,0.0909,1.0
FFM-250-50-0.50-SAT-1,binary_config,10000,256,3,32640,0.0529677465625,0.22145827116729322,0.0,0.9999870399999999,0.02277939585248799,0.047263440041090954,1.0894603373222558e-05,0.2997763939971459,0.3585978205695475,0.026134477062985058,0.3306287642735292,0.3935063840469609,17.97,0.0,0.4274,0.1,1.0
FFM-500-100-0.50-SAT-1,binary_config,10000,510,3,129795,0.027749133333333335,0.15195329436439975,0.0,0.9999998400000001,0.03240565189751779,0.0665553591397227,1.8000038160121295e-06,0.46402264161049445,0.3633410919833411,0.034268061142817906,0.3168123102944176,0.39834236391437067,20.68,0.0,0.4818,0.1,1.0
FM-500-100-0.25-SAT-1,binary_config,10000,517,3,133386,0.0273058215860735,0.1470727806005065,0.0,1.0,0.04401252089894654,0.09205035005771642,0.0,1.0,0.34187485156296843,0.008382994764276626,0.3337968037553068,0.35342857835777797,23.93,0.0,0.3454,0.1,0.7143
FM-500-100-0.50-SAT-1,binary_config,10000,513,3,131328,0.026504864561403513,0.14601814250523046,0.0,1.0,0.028856995891022214,0.046458338359238086,0.0,0.11408199643493762,0.37932885996667726,0.020214171246296108,0.3547050171847023,0.4042173012955614,23.55,0.0,0.4108,0.0909,0.8333
FM-500-100-0.75-SAT-1,binary_config,10000,511,3,130305,0.026502630450097847,0.15884678744367564,0.0,1.0,0.021646991666520662,0.04882562478689255,0.0,0.3062346046830575,0.3803124984572636,0.06520028493464355,0.29853683834399375,0.45809439027344573,22.25,0.0,0.3496,0.0,0.8333
FM-500-100-1.00-SAT-1,binary_config,10000,511,3,130305,0.02842455475538161,0.16420781651474267,0.0,0.9999990000000001,0.02834920058921371,0.0920375768632412,2.916387437407209e-05,0.6733135501093022,0.38047551625423887,0.03653784665188886,0.32881194610055986,0.4071307065577617,16.96,0.0,0.3568,0.0769,0.8571
Scrum100k,binary_config,100000,124,3,7626,0.1631192323,0.36177600592275794,0.0,0.9999999996,0.029401743145160045,0.12106757002879606,3.204411218265509e-07,1.0,0.36213452906627186,0.054676567734745045,0.3060131148564685,0.43626128374633466,26.78,0.0,0.4145,0.1,1.0
Scrum10k,binary_config,10000,124,3,7626,0.13454922419354837,0.3294356207081484,0.0,0.9998204399999999,0.05708426953308498,0.149790569424944,4.362520739413519e-05,1.0,0.4091129747895597,0.0634215521755196,0.34091926168341896,0.4936642963593782,21.7,0.0,0.3555,0.0769,0.875
Scrum1k,binary_config,1000,124,3,7626,0.1008661935483871,0.2955986820475028,0.0,1.0,0.05799272877744162,0.17339424923161745,0.0,1.0,0.4320180618765433,0.04223359928598831,0.3727362178386247,0.46796474226163665,15.12,0.0,0.5559,0.2,1.0
billing10k,binary_config,10000,88,3,3828,0.15370018909090907,0.35580545544315956,0.0,1.0,0.015687710858863148,0.05905404272429012,0.0,0.39130107483280907,0.37399360757916184,0.0665769198519634,0.3227589785765375,0.46802136703360026,17.44,0.0,0.4216,0.1,1.0
Apache_AllMeasurements,config,192,9,1,36,0.8641975308641976,0.3088887902023902,0.0,1.0,0.017857142857142856,0.09278843611976129,0.0,0.5,0.5294918882041507,0.0,0.5294918882041507,0.5294918882041507,2.68,29.0,0.5634,0.25,1.0
HSMGP_num,config,3456,14,1,91,0.5798879016010486,0.27052270418856583,0.0,0.8888888888888888,0.06892719765708274,0.12546017636998766,0.0,0.5,0.38322189085547304,0.0,0.38322189085547304,0.38322189085547304,1.5,6.0,0.6862,0.3333,1.0
SQL_AllMeasurements,config,4653,38,1,703,0.5012551373436919,0.30869262123210073,0.0230761460441693,0.9984191984548652,0.14425313078103516,0.23304617604790734,3.618366603581526e-05,1.0,0.3698853415841411,0.0,0.3698853415841411,0.3698853415841411,20.42,0.0,0.3361,0.0909,0.75
SS-A,config,1343,3,2,3,0.554094455474972,0.1350582287143045,0.3679916150315599,0.68436666692065,0.06845495679745213,0.07630583714826399,0.0014294562613693187,0.17521084928892458,0.374649727343919,0.1072915395860902,0.26735818775782877,0.48194126693000916,3.75,28.0,0.8351,0.3333,1.0
SS-B,config,206,3,2,3,0.5173404119900088,0.07309521079110415,0.4341689216838123,0.6120885701910361,0.13178419080591822,0.10700661386565942,0.03124760653395,0.28000614307609833,0.40635741692064786,0.043658156082426625,0.36269926083822124,0.4500155730030745,0.0,60.0,0.8316,0.6667,1.0
SS-C,config,1512,3,2,3,0.6027720731707938,0.06892261409915923,0.5148182305553346,0.6831300510639733,1.5422308655711763e-16,2.741522852509459e-17,1.1557194266256788e-16,1.7618663867051346e-16,0.4684818578801406,0.09965470291866746,0.3688271549614731,0.568136560798808,9.99,18.0,0.8737,0.3333,1.0
SS-D,config,196,3,2,3,0.706671198738667,0.029675649631375537,0.6814499137046486,0.7483314773547883,1.4395088444819186e-16,8.784405791793081e-17,4.0990264312798284e-17,2.5563252999305695e-16,0.37909546207103306,0.015352062684714646,0.36374339938631844,0.39444752475574774,14.45,5.0,0.8772,0.3333,1.0
SS-E,config,756,3,2,3,0.6612433980378704,0.036091037501456626,0.6103679378930738,0.6902322051565642,6.806942437192801e-16,7.00392405365388e-16,3.482302683496137e-17,1.6539851862985157e-15,0.3449589212815105,0.09229310236728208,0.25266581891422846,0.4372520236487926,16.9,7.0,0.7368,0.0,1.0
SS-F,config,196,3,2,3,0.706671198738667,0.029675649631375537,0.6814499137046486,0.7483314773547883,1.4395088444819186e-16,8.784405791793081e-17,4.0990264312798284e-17,2.5563252999305695e-16,0.4413736484969661,0.05197908523270223,0.38939456326426386,0.4933527337296683,14.4,2.0,0.9105,0.6667,1.0
SS-G,config,196,3,2,3,0.706671198738667,0.029675649631375537,0.6814499137046486,0.7483314773547883,1.4395088444819186e-16,8.784405791793081e-17,4.0990264312798284e-17,2.5563252999305695e-16,0.45187026342333836,0.06565073984678504,0.3862195235765533,0.5175210032701234,15.58,7.0,0.8351,0.3333,1.0
SS-H,config,259,4,2,6,0.7723223890737434,0.13332533674754826,0.6729675458372287,0.9996347031841584,0.03265667797177728,0.049533763432496145,4.083341762051186e-18,0.13791664416432498,0.4779335375270434,0.08002356101850552,0.3979099765085378,0.5579570985455489,0.0,87.0,0.6772,0.25,1.0
SS-I,config,1080,5,2,10,0.7773236189632933,0.04214416428276884,0.7177405625652734,0.8314794192830981,3.2246093684082925e-16,4.910815279015572e-16,1.0363295767659957e-17,1.647711511409956e-15,0.37317460428901594,0.0773452067864891,0.29582939750252685,0.45051981107550504,13.2,0.0,0.6982,0.2,1.0
SS-J,config,3840,6,2,15,0.8274805652878321,0.10257811468294079,0.695387671619817,1.0,3.113070378853297e-16,5.23559964353832e-16,2.2007486424481885e-18,2.0452922998677164e-15,0.46302146738580785,0.085620280000691,0.37740118738511685,0.5486417473864988,10.64,38.0,0.5915,0.1667,1.0
SS-K,config,2880,6,2,15,0.8195314873468962,0.09836319498952911,0.7323162551877481,1.0,1.7392379403135773e-16,2.5397151117196315e-16,2.6105627253863537e-18,1.0518847422612518e-15,0.39786717127223986,0.025431036618803304,0.37243613465343656,0.42329820789104317,18.62,24.0,0.5425,0.1667,1.0
SS-L,config,1023,11,2,55,0.8969366459002976,0.2862025832841097,0.0,0.9999995222300391,0.013709000120810642,0.08494389049013962,0.0005647378218570934,0.5771620539379444,0.5854866357090631,0.10127528472110064,0.48421135098796253,0.6867619204301638,1.43,89.0,0.4736,0.1111,1.0
SS-M,config,864,17,3,136,0.7712418300653594,0.29297162348007716,0.0,1.0,0.05873015873015872,0.16742834269326037,0.0,1.0,0.7128766765335683,0.04478809250631168,0.6538829207948386,0.762342591270299,0.84,54.0,0.5712,0.2222,1.0
