kind,name,value
x_variation,root,0.0
x_variation,filterOff,1.0
x_variation,headerCompressionOff,1.0
x_variation,mtOff,1.0
x_variation,compressionMethod,0.0
x_variation,lZMA,0.6399999999999997
x_variation,lZMA2,0.6399999999999997
x_variation,pPMd,0.6399999999999997
x_variation,bZip2,0.6399999999999997
x_variation,deflate,0.6399999999999997
x_variation,tmOff,1.0
x_variation,Files,0.632455532033676
x_variation,BlockSize,0.5619244796787051
x_variation,Xval,0.6831300510639732
y_variation,Performance-,0.3669154711031495
correlation,root|filterOff,
correlation,root|headerCompressionOff,
correlation,root|mtOff,
correlation,root|compressionMethod,
correlation,root|lZMA,
correlation,root|lZMA2,
correlation,root|pPMd,
correlation,root|bZip2,
correlation,root|deflate,
correlation,root|tmOff,
correlation,root|Files,
correlation,root|BlockSize,
correlation,root|Xval,
correlation,filterOff|headerCompressionOff,0.0
correlation,filterOff|mtOff,0.0
correlation,filterOff|compressionMethod,
correlation,filterOff|lZMA,0.0
correlation,filterOff|lZMA2,0.0
correlation,filterOff|pPMd,0.0
correlation,filterOff|bZip2,0.0
correlation,filterOff|deflate,0.0
correlation,filterOff|tmOff,0.0
correlation,filterOff|Files,0.0
correlation,filterOff|BlockSize,0.0
correlation,filterOff|Xval,0.0
correlation,headerCompressionOff|mtOff,0.0
correlation,headerCompressionOff|compressionMethod,
correlation,headerCompressionOff|lZMA,0.0
correlation,headerCompressionOff|lZMA2,0.0
correlation,headerCompressionOff|pPMd,0.0
correlation,headerCompressionOff|bZip2,0.0
correlation,headerCompressionOff|deflate,0.0
correlation,headerCompressionOff|tmOff,0.0
correlation,headerCompressionOff|Files,0.0
correlation,headerCompressionOff|BlockSize,0.0
correlation,headerCompressionOff|Xval,0.0
correlation,mtOff|compressionMethod,
correlation,mtOff|lZMA,0.0
correlation,mtOff|lZMA2,0.0
correlation,mtOff|pPMd,0.0
correlation,mtOff|bZip2,0.0
correlation,mtOff|deflate,0.0
correlation,mtOff|tmOff,0.0
correlation,mtOff|Files,0.0
correlation,mtOff|BlockSize,0.0
correlation,mtOff|Xval,0.0
correlation,compressionMethod|lZMA,
correlation,compressionMethod|lZMA2,
correlation,compressionMethod|pPMd,
correlation,compressionMethod|bZip2,
correlation,compressionMethod|deflate,
correlation,compressionMethod|tmOff,
correlation,compressionMethod|Files,
correlation,compressionMethod|BlockSize,
correlation,compressionMethod|Xval,
correlation,lZMA|lZMA2,0.25
correlation,lZMA|pPMd,0.25
correlation,lZMA|bZip2,0.25
correlation,lZMA|deflate,0.25
correlation,lZMA|tmOff,0.0
correlation,lZMA|Files,0.0
correlation,lZMA|BlockSize,0.0
correlation,lZMA|Xval,0.0
correlation,lZMA2|pPMd,0.25
correlation,lZMA2|bZip2,0.25
correlation,lZMA2|deflate,0.25
correlation,lZMA2|tmOff,0.0
correlation,lZMA2|Files,0.0
correlation,lZMA2|BlockSize,0.0
correlation,lZMA2|Xval,0.0
correlation,pPMd|bZip2,0.25
correlation,pPMd|deflate,0.25
correlation,pPMd|tmOff,0.0
correlation,pPMd|Files,0.0
correlation,pPMd|BlockSize,0.0
correlation,pPMd|Xval,0.0
correlation,bZip2|deflate,0.25
correlation,bZip2|tmOff,0.0
correlation,bZip2|Files,0.0
correlation,bZip2|BlockSize,0.0
correlation,bZip2|Xval,0.0
correlation,deflate|tmOff,0.0
correlation,deflate|Files,0.0
correlation,deflate|BlockSize,0.0
correlation,deflate|Xval,0.0
correlation,tmOff|Files,0.0
correlation,tmOff|BlockSize,0.0
correlation,tmOff|Xval,0.0
correlation,Files|BlockSize,3.1476734287737254e-18
correlation,Files|Xval,3.8811918536948436e-17
correlation,BlockSize|Xval,2.5033742121368584e-17
covariance,Files|BlockSize,-1.0109258444772256e-19
covariance,Files|Xval,-1.7549672660124636e-19
covariance,BlockSize|Xval,-3.8819552427925464e-19
performance,rmse,3.80
stability,agreement,54
stability,jaccard_mean,0.5261
