kind,name,value
x_variation,base,0.0
x_variation,hostnameLookups,1.0
x_variation,keepAlive,1.0
x_variation,enableSendfile,1.0
x_variation,followSymLinks,1.0
x_variation,accessLog,1.0
x_variation,extendedStatus,1.0
x_variation,inMemory,0.8888888888888888
x_variation,handle,0.8888888888888888
y_variation,Performance-,0.5294918882041507
correlation,base|hostnameLookups,
correlation,base|keepAlive,
correlation,base|enableSendfile,
correlation,base|followSymLinks,
correlation,base|accessLog,
correlation,base|extendedStatus,
correlation,base|inMemory,
correlation,base|handle,
correlation,hostnameLookups|keepAlive,0.0
correlation,hostnameLookups|enableSendfile,0.0
correlation,hostnameLookups|followSymLinks,0.0
correlation,hostnameLookups|accessLog,0.0
correlation,hostnameLookups|extendedStatus,0.0
correlation,hostnameLookups|inMemory,0.0
correlation,hostnameLookups|handle,0.0
correlation,keepAlive|enableSendfile,0.0
correlation,keepAlive|followSymLinks,0.0
correlation,keepAlive|accessLog,0.0
correlation,keepAlive|extendedStatus,0.0
correlation,keepAlive|inMemory,0.0
correlation,keepAlive|handle,0.0
correlation,enableSendfile|followSymLinks,0.0
correlation,enableSendfile|accessLog,0.0
correlation,enableSendfile|extendedStatus,0.0
correlation,enableSendfile|inMemory,0.0
correlation,enableSendfile|handle,0.0
correlation,followSymLinks|accessLog,0.0
correlation,followSymLinks|extendedStatus,0.0
correlation,followSymLinks|inMemory,0.0
correlation,followSymLinks|handle,0.0
correlation,accessLog|extendedStatus,0.0
correlation,accessLog|inMemory,0.0
correlation,accessLog|handle,0.0
correlation,extendedStatus|inMemory,0.0
correlation,extendedStatus|handle,0.0
correlation,inMemory|handle,0.5
performance,rmse,6.21
stability,agreement,16
stability,jaccard_mean,0.4442
