kind,name,value
x_variation,hAVE_CRYPTO,1.0
x_variation,hAVE_HASH,1.0
x_variation,hAVE_REPLICATION,1.0
x_variation,hAVE_VERIFY,1.0
x_variation,hAVE_SEQUENCE,1.0
x_variation,hAVE_STATISTICS,1.0
x_variation,dIAGNOSTIC,1.0
x_variation,pS1K,0.6399999999999997
x_variation,pS4K,0.6399999999999997
x_variation,pS8K,0.6399999999999997
x_variation,pS16K,0.6399999999999997
x_variation,pS32K,0.6399999999999997
x_variation,cS32MB,0.75
x_variation,cS16MB,0.75
x_variation,cS64MB,0.75
x_variation,cS512MB,0.75
y_variation,PERF-,0.6063580993770993
correlation,hAVE_CRYPTO|hAVE_HASH,0.0
correlation,hAVE_CRYPTO|hAVE_REPLICATION,0.0
correlation,hAVE_CRYPTO|hAVE_VERIFY,0.0
correlation,hAVE_CRYPTO|hAVE_SEQUENCE,0.0
correlation,hAVE_CRYPTO|hAVE_STATISTICS,0.0
correlation,hAVE_CRYPTO|dIAGNOSTIC,0.0
correlation,hAVE_CRYPTO|pS1K,0.0
correlation,hAVE_CRYPTO|pS4K,0.0
correlation,hAVE_CRYPTO|pS8K,0.0
correlation,hAVE_CRYPTO|pS16K,0.0
correlation,hAVE_CRYPTO|pS32K,0.0
correlation,hAVE_CRYPTO|cS32MB,0.0
correlation,hAVE_CRYPTO|cS16MB,0.0
correlation,hAVE_CRYPTO|cS64MB,0.0
correlation,hAVE_CRYPTO|cS512MB,0.0
correlation,hAVE_HASH|hAVE_REPLICATION,0.0
correlation,hAVE_HASH|hAVE_VERIFY,0.0
correlation,hAVE_HASH|hAVE_SEQUENCE,0.0
correlation,hAVE_HASH|hAVE_STATISTICS,0.0
correlation,hAVE_HASH|dIAGNOSTIC,0.0
correlation,hAVE_HASH|pS1K,0.0
correlation,hAVE_HASH|pS4K,0.0
correlation,hAVE_HASH|pS8K,0.0
correlation,hAVE_HASH|pS16K,0.0
correlation,hAVE_HASH|pS32K,0.0
correlation,hAVE_HASH|cS32MB,0.0
correlation,hAVE_HASH|cS16MB,0.0
correlation,hAVE_HASH|cS64MB,0.0
correlation,hAVE_HASH|cS512MB,0.0
correlation,hAVE_REPLICATION|hAVE_VERIFY,0.0
correlation,hAVE_REPLICATION|hAVE_SEQUENCE,0.0
correlation,hAVE_REPLICATION|hAVE_STATISTICS,0.0
correlation,hAVE_REPLICATION|dIAGNOSTIC,0.0
correlation,hAVE_REPLICATION|pS1K,0.0
correlation,hAVE_REPLICATION|pS4K,0.0
correlation,hAVE_REPLICATION|pS8K,0.0
correlation,hAVE_REPLICATION|pS16K,0.0
correlation,hAVE_REPLICATION|pS32K,0.0
correlation,hAVE_REPLICATION|cS32MB,0.0
correlation,hAVE_REPLICATION|cS16MB,0.0
correlation,hAVE_REPLICATION|cS64MB,0.0
correlation,hAVE_REPLICATION|cS512MB,0.0
