kind,name,value
x_variation,smoother_JAC,0.5555555555555554
x_variation,smoother_GSAC,0.5555555555555554
x_variation,smoother_GSACBE,0.5555555555555554
x_variation,smoother,0.0
x_variation,cGS_IP_CG,0.8888888888888888
x_variation,cGS_RED_AMG,0.8888888888888888
x_variation,cGS_IP_AMG,0.8888888888888888
x_variation,smoother_GS,0.5555555555555554
x_variation,cGS,0.0
x_variation,smoother_GSRB,0.5555555555555554
x_variation,smoother_GSRBAC,0.5555555555555554
x_variation,Pre,0.6575005492181906
x_variation,Post,0.6575005492181906
x_variation,NumCore,0.8034295239783015
y_variation,AverageTimePerIteration-,0.38322189085547304
correlation,smoother_JAC|smoother_GSAC,0.2
correlation,smoother_JAC|smoother_GSACBE,0.2
correlation,smoother_JAC|smoother,
correlation,smoother_JAC|cGS_IP_CG,0.0
correlation,smoother_JAC|cGS_RED_AMG,0.0
correlation,smoother_JAC|cGS_IP_AMG,0.0
correlation,smoother_JAC|smoother_GS,0.2
correlation,smoother_JAC|cGS,
correlation,smoother_JAC|smoother_GSRB,0.2
correlation,smoother_JAC|smoother_GSRBAC,0.2
correlation,smoother_JAC|Pre,3.3232005153734455e-15
correlation,smoother_JAC|Post,1.5475822962207936e-15
correlation,smoother_JAC|NumCore,6.407397580006716e-16
correlation,smoother_GSAC|smoother_GSACBE,0.2
correlation,smoother_GSAC|smoother,
correlation,smoother_GSAC|cGS_IP_CG,0.0
correlation,smoother_GSAC|cGS_RED_AMG,0.0
correlation,smoother_GSAC|cGS_IP_AMG,0.0
correlation,smoother_GSAC|smoother_GS,0.2
correlation,smoother_GSAC|cGS,
correlation,smoother_GSAC|smoother_GSRB,0.2
correlation,smoother_GSAC|smoother_GSRBAC,0.2
correlation,smoother_GSAC|Pre,3.3232005153734455e-15
correlation,smoother_GSAC|Post,1.5475822962207936e-15
correlation,smoother_GSAC|NumCore,6.407397580006716e-16
correlation,smoother_GSACBE|smoother,
correlation,smoother_GSACBE|cGS_IP_CG,0.0
correlation,smoother_GSACBE|cGS_RED_AMG,0.0
correlation,smoother_GSACBE|cGS_IP_AMG,0.0
correlation,smoother_GSACBE|smoother_GS,0.2
correlation,smoother_GSACBE|cGS,
correlation,smoother_GSACBE|smoother_GSRB,0.2
correlation,smoother_GSACBE|smoother_GSRBAC,0.2
correlation,smoother_GSACBE|Pre,3.3232005153734455e-15
correlation,smoother_GSACBE|Post,1.5475822962207936e-15
correlation,smoother_GSACBE|NumCore,6.407397580006716e-16
correlation,smoother|cGS_IP_CG,
correlation,smoother|cGS_RED_AMG,
correlation,smoother|cGS_IP_AMG,
correlation,smoother|smoother_GS,
correlation,smoother|cGS,
correlation,smoother|smoother_GSRB,
correlation,smoother|smoother_GSRBAC,
correlation,smoother|Pre,
correlation,smoother|Post,
correlation,smoother|NumCore,
correlation,cGS_IP_CG|cGS_RED_AMG,0.5
correlation,cGS_IP_CG|cGS_IP_AMG,0.5
correlation,cGS_IP_CG|smoother_GS,0.0
correlation,cGS_IP_CG|cGS,
correlation,cGS_IP_CG|smoother_GSRB,0.0
correlation,cGS_IP_CG|smoother_GSRBAC,0.0
correlation,cGS_IP_CG|Pre,1.046538253122178e-14
correlation,cGS_IP_CG|Post,1.1200578343770226e-15
correlation,cGS_IP_CG|NumCore,6.955183806407582e-16
correlation,cGS_RED_AMG|cGS_IP_AMG,0.5
correlation,cGS_RED_AMG|smoother_GS,0.0
correlation,cGS_RED_AMG|cGS,
correlation,cGS_RED_AMG|smoother_GSRB,0.0
correlation,cGS_RED_AMG|smoother_GSRBAC,0.0
correlation,cGS_RED_AMG|Pre,1.046538253122178e-14
correlation,cGS_RED_AMG|Post,1.1200578343770226e-15
correlation,cGS_RED_AMG|NumCore,6.955183806407582e-16
correlation,cGS_IP_AMG|smoother_GS,0.0
correlation,cGS_IP_AMG|cGS,
correlation,cGS_IP_AMG|smoother_GSRB,0.0
correlation,cGS_IP_AMG|smoother_GSRBAC,0.0
correlation,cGS_IP_AMG|Pre,1.046538253122178e-14
correlation,cGS_IP_AMG|Post,1.1200578343770226e-15
correlation,cGS_IP_AMG|NumCore,6.955183806407582e-16
correlation,smoother_GS|cGS,
correlation,smoother_GS|smoother_GSRB,0.2
correlation,smoother_GS|smoother_GSRBAC,0.2
correlation,smoother_GS|Pre,3.3232005153734455e-15
correlation,smoother_GS|Post,1.5475822962207936e-15
correlation,smoother_GS|NumCore,6.407397580006716e-16
correlation,cGS|smoother_GSRB,
correlation,cGS|smoother_GSRBAC,
correlation,cGS|Pre,
correlation,cGS|Post,
correlation,cGS|NumCore,
correlation,smoother_GSRB|smoother_GSRBAC,0.2
correlation,smoother_GSRB|Pre,3.3232005153734455e-15
correlation,smoother_GSRB|Post,1.5475822962207936e-15
correlation,smoother_GSRB|NumCore,6.407397580006716e-16
correlation,smoother_GSRBAC|Pre,3.3232005153734455e-15
correlation,smoother_GSRBAC|Post,1.5475822962207936e-15
correlation,smoother_GSRBAC|NumCore,6.407397580006716e-16
correlation,Pre|Post,0.04919504536738987
correlation,Pre|NumCore,1.8715654020552334e-16
correlation,Post|NumCore,1.0451858433463589e-15
covariance,Pre|Post,-0.005318379160636754
covariance,Pre|NumCore,-8.226254538467151e-18
covariance,Post|NumCore,0.0
performance,rmse,3.62
stability,agreement,49
stability,jaccard_mean,0.4593
