kind,name,value
x_variation,gvn,1.0
x_variation,instcombine,1.0
x_variation,inline,1.0
x_variation,jump_threading,1.0
x_variation,simplifycfg,1.0
x_variation,sccp,1.0
x_variation,print_used_types,1.0
x_variation,ipsccp,1.0
x_variation,iv_users,1.0
x_variation,licm,1.0
y_variation,PERF-,0.4906570283025088
correlation,gvn|instcombine,0.0
correlation,gvn|inline,0.0
correlation,gvn|jump_threading,0.0
correlation,gvn|simplifycfg,0.0
correlation,gvn|sccp,0.0
correlation,gvn|print_used_types,0.0
correlation,gvn|ipsccp,0.0
correlation,gvn|iv_users,0.0
correlation,gvn|licm,0.0
correlation,instcombine|inline,0.0
correlation,instcombine|jump_threading,0.0
correlation,instcombine|simplifycfg,0.0
correlation,instcombine|sccp,0.0
correlation,instcombine|print_used_types,0.0
correlation,instcombine|ipsccp,0.0
correlation,instcombine|iv_users,0.0
correlation,instcombine|licm,0.0
correlation,inline|jump_threading,0.0
correlation,inline|simplifycfg,0.0
correlation,inline|sccp,0.0
correlation,inline|print_used_types,0.0
correlation,inline|ipsccp,0.0
correlation,inline|iv_users,0.0
correlation,inline|licm,0.0
correlation,jump_threading|simplifycfg,0.0
correlation,jump_threading|sccp,0.0
correlation,jump_threading|print_used_types,0.0
correlation,jump_threading|ipsccp,0.0
correlation,jump_threading|iv_users,0.0
correlation,jump_threading|licm,0.0
correlation,simplifycfg|sccp,0.0
correlation,simplifycfg|print_used_types,0.0
correlation,simplifycfg|ipsccp,0.0
correlation,simplifycfg|iv_users,0.0
correlation,simplifycfg|licm,0.0
correlation,sccp|print_used_types,0.0
correlation,sccp|ipsccp,0.0
correlation,sccp|iv_users,0.0
correlation,sccp|licm,0.0
correlation,print_used_types|ipsccp,0.0
correlation,print_used_types|iv_users,0.0
correlation,print_used_types|licm,0.0
correlation,ipsccp|iv_users,0.0
correlation,ipsccp|licm,0.0
correlation,iv_users|licm,0.0
performance,rmse,8.46
stability,agreement,36
stability,jaccard_mean,0.6715
