kind,name,value
x_variation,Spout,0.816496580927726
x_variation,Split,0.7483314773547882
x_variation,Count,0.7177405625652734
x_variation,Buffer_size,0.7725700546855803
x_variation,Heap,0.8314794192830981
y_variation,Throughput+,0.29582939750252685
y_variation,Latency-,0.45051981107550504
correlation,Spout|Split,1.0363295767659957e-17
correlation,Spout|Count,6.190477381461748e-17
correlation,Spout|Buffer_size,5.904097151973635e-16
correlation,Spout|Heap,1.647711511409956e-15
correlation,Split|Count,3.273794200381901e-17
correlation,Split|Buffer_size,1.1421270220539054e-16
correlation,Split|Heap,5.957645410365306e-16
correlation,Count|Buffer_size,4.341912857063604e-17
correlation,Count|Heap,1.130575135701868e-16
correlation,Buffer_size|Heap,1.5028244832132423e-17
covariance,Spout|Split,1.6462992024098707e-18
covariance,Spout|Count,-1.6462992024098707e-18
covariance,Spout|Buffer_size,-2.0578740030123384e-19
covariance,Spout|Heap,1.800639752635796e-19
covariance,Split|Count,7.408346410844419e-18
covariance,Split|Buffer_size,-9.260433013555523e-19
covariance,Split|Heap,1.6657346791049874e-18
covariance,Count|Buffer_size,-3.6012795052715925e-18
covariance,Count|Heap,-2.0715152132595795e-18
covariance,Buffer_size|Heap,1.755353718553135e-18
performance,rmse,15.05
stability,agreement,25
stability,jaccard_mean,0.5454
