kind,name,value
x_variation,Spouts,1.0
x_variation,Max_spout,0.8384067621816064
x_variation,Sorters,0.695387671619817
x_variation,Emit_freq,0.7320354397549439
x_variation,Chunk_size,0.7960435529735749
x_variation,Message_size,0.903009965197051
y_variation,Throughput+,0.5486417473864988
y_variation,Latency-,0.37740118738511685
correlation,Spouts|Max_spout,1.7290739012738068e-16
correlation,Spouts|Sorters,2.0452922998677164e-15
correlation,Spouts|Emit_freq,2.501825587576892e-17
correlation,Spouts|Chunk_size,1.0354729852154298e-16
correlation,Spouts|Message_size,7.810425804036826e-16
correlation,Max_spout|Sorters,7.565086955545252e-16
correlation,Max_spout|Emit_freq,8.874905581231546e-17
correlation,Max_spout|Chunk_size,7.192151755468274e-17
correlation,Max_spout|Message_size,3.5425142862698673e-16
correlation,Sorters|Emit_freq,8.548685316039278e-17
correlation,Sorters|Chunk_size,9.14868472866921e-17
correlation,Sorters|Message_size,6.233678602961596e-17
correlation,Emit_freq|Chunk_size,8.098508452395129e-18
correlation,Emit_freq|Message_size,2.0757302363799817e-17
correlation,Chunk_size|Message_size,2.2007486424481885e-18
covariance,Spouts|Max_spout,9.2542685042993e-19
covariance,Spouts|Sorters,-9.2542685042993e-19
covariance,Spouts|Emit_freq,0.0
covariance,Spouts|Chunk_size,0.0
covariance,Spouts|Message_size,7.229897268983828e-21
covariance,Max_spout|Sorters,-6.940701378224475e-18
covariance,Max_spout|Emit_freq,-1.7583110158168668e-17
covariance,Max_spout|Chunk_size,2.978717674821337e-18
covariance,Max_spout|Message_size,-1.0411052067336712e-18
covariance,Sorters|Emit_freq,-7.40341480343944e-18
covariance,Sorters|Chunk_size,-4.62713425214965e-19
covariance,Sorters|Message_size,8.097484941261887e-19
covariance,Emit_freq|Chunk_size,-2.3280269206127927e-18
covariance,Emit_freq|Message_size,-1.2796918166101376e-18
covariance,Chunk_size|Message_size,4.6271342521496495e-18
performance,rmse,29.35
stability,agreement,5
stability,jaccard_mean,0.5250
