kind,name,value
x_variation,compressed_script,1.0
x_variation,encryption,0.8888888888888888
x_variation,crypt_aes,0.8888888888888888
x_variation,crypt_blowfish,0.8888888888888888
x_variation,transaction_control,0.0
x_variation,txc_mvlocks,0.8888888888888888
x_variation,txc_mvcc,0.8888888888888888
x_variation,txc_locks,0.8888888888888888
x_variation,table_type,0.0
x_variation,memory_tables,0.75
x_variation,cached_tables,0.75
x_variation,small_cache,0.75
x_variation,large_cache,0.75
x_variation,logging,0.8888888888888888
x_variation,detailed_logging,0.8888888888888888
x_variation,no_write_delay,1.0
x_variation,small_log,1.0
y_variation,Benchmark-energy-,0.6538829207948386
y_variation,Benchmark-time-,0.762342591270299
y_variation,Benchmark-cpu-,0.7224045175355676
correlation,compressed_script|encryption,0.0
correlation,compressed_script|crypt_aes,0.0
correlation,compressed_script|crypt_blowfish,0.0
correlation,compressed_script|transaction_control,
correlation,compressed_script|txc_mvlocks,0.0
correlation,compressed_script|txc_mvcc,0.0
correlation,compressed_script|txc_locks,0.0
correlation,compressed_script|table_type,
correlation,compressed_script|memory_tables,0.0
correlation,compressed_script|cached_tables,0.0
correlation,compressed_script|small_cache,0.0
correlation,compressed_script|large_cache,0.0
correlation,compressed_script|logging,0.0
correlation,compressed_script|detailed_logging,0.0
correlation,compressed_script|no_write_delay,0.0
correlation,compressed_script|small_log,0.0
correlation,encryption|crypt_aes,0.5
correlation,encryption|crypt_blowfish,0.5
correlation,encryption|transaction_control,
correlation,encryption|txc_mvlocks,0.0
correlation,encryption|txc_mvcc,0.0
correlation,encryption|txc_locks,0.0
correlation,encryption|table_type,
correlation,encryption|memory_tables,0.0
correlation,encryption|cached_tables,0.0
correlation,encryption|small_cache,0.0
correlation,encryption|large_cache,0.0
correlation,encryption|logging,0.0
correlation,encryption|detailed_logging,0.0
correlation,encryption|no_write_delay,0.0
correlation,encryption|small_log,0.0
correlation,crypt_aes|crypt_blowfish,0.5
correlation,crypt_aes|transaction_control,
correlation,crypt_aes|txc_mvlocks,0.0
correlation,crypt_aes|txc_mvcc,0.0
correlation,crypt_aes|txc_locks,0.0
correlation,crypt_aes|table_type,
correlation,crypt_aes|memory_tables,0.0
correlation,crypt_aes|cached_tables,0.0
correlation,crypt_aes|small_cache,0.0
correlation,crypt_aes|large_cache,0.0
correlation,crypt_aes|logging,0.0
