kind,name,value
x_variation,twoPass,0.9972299168975072
x_variation,quality,0.0
x_variation,bestQuality,0.8888888888888888
x_variation,goodQuality,0.8888888888888888
x_variation,rtQuality,0.8888888888888888
x_variation,constantBitrate,1.0
x_variation,autoAltRef,0.9972299168975072
x_variation,noAltRef,0.1994459833795017
x_variation,allowResize,1.0
x_variation,Threads,0.7453559924999298
x_variation,TokenParts,0.816496580927726
x_variation,ArnrMaxFrames,0.8332871640026609
x_variation,ArnrStrength,0.8254940600714801
y_variation,Performance-,0.5681088174710387
y_variation,Energy-,0.578960886237347
y_variation,Cpu-,0.5292894529078571
correlation,twoPass|quality,
correlation,twoPass|bestQuality,0.0
correlation,twoPass|goodQuality,0.0
correlation,twoPass|rtQuality,0.0
correlation,twoPass|constantBitrate,0.0
correlation,twoPass|autoAltRef,0.9000000000000001
correlation,twoPass|noAltRef,0.22360679774997896
correlation,twoPass|allowResize,0.0
correlation,twoPass|Threads,0.0
correlation,twoPass|TokenParts,0.0
correlation,twoPass|ArnrMaxFrames,0.05326236412913076
correlation,twoPass|ArnrStrength,0.06048583789091335
correlation,quality|bestQuality,
correlation,quality|goodQuality,
correlation,quality|rtQuality,
correlation,quality|constantBitrate,
correlation,quality|autoAltRef,
correlation,quality|noAltRef,
correlation,quality|allowResize,
correlation,quality|Threads,
correlation,quality|TokenParts,
correlation,quality|ArnrMaxFrames,
correlation,quality|ArnrStrength,
correlation,bestQuality|goodQuality,0.5
correlation,bestQuality|rtQuality,0.5
correlation,bestQuality|constantBitrate,0.0
correlation,bestQuality|autoAltRef,0.0
correlation,bestQuality|noAltRef,0.0
correlation,bestQuality|allowResize,0.0
correlation,bestQuality|Threads,0.0
correlation,bestQuality|TokenParts,0.0
correlation,bestQuality|ArnrMaxFrames,0.0
correlation,bestQuality|ArnrStrength,0.0
correlation,goodQuality|rtQuality,0.5
correlation,goodQuality|constantBitrate,0.0
correlation,goodQuality|autoAltRef,0.0
correlation,goodQuality|noAltRef,0.0
correlation,goodQuality|allowResize,0.0
correlation,goodQuality|Threads,0.0
correlation,goodQuality|TokenParts,0.0
correlation,goodQuality|ArnrMaxFrames,0.0
correlation,goodQuality|ArnrStrength,0.0
correlation,rtQuality|constantBitrate,0.0
correlation,rtQuality|autoAltRef,0.0
correlation,rtQuality|noAltRef,0.0
correlation,rtQuality|allowResize,0.0
correlation,rtQuality|Threads,0.0
correlation,rtQuality|TokenParts,0.0
correlation,rtQuality|ArnrMaxFrames,0.0
correlation,rtQuality|ArnrStrength,0.0
correlation,constantBitrate|autoAltRef,0.0
correlation,constantBitrate|noAltRef,0.0
correlation,constantBitrate|allowResize,0.0
correlation,constantBitrate|Threads,0.0
correlation,constantBitrate|TokenParts,0.0
correlation,constantBitrate|ArnrMaxFrames,0.0
correlation,constantBitrate|ArnrStrength,0.0
correlation,autoAltRef|noAltRef,0.22360679774997896
correlation,autoAltRef|allowResize,0.0
correlation,autoAltRef|Threads,0.0
correlation,autoAltRef|TokenParts,0.0
correlation,autoAltRef|ArnrMaxFrames,0.05326236412913076
correlation,autoAltRef|ArnrStrength,0.06048583789091335
correlation,noAltRef|allowResize,0.0
correlation,noAltRef|Threads,0.0
correlation,noAltRef|TokenParts,0.0
correlation,noAltRef|ArnrMaxFrames,0.23819653367016544
correlation,noAltRef|ArnrStrength,0.2705008904002297
correlation,allowResize|Threads,0.0
correlation,allowResize|TokenParts,0.0
correlation,allowResize|ArnrMaxFrames,0.0
correlation,allowResize|ArnrStrength,0.0
correlation,Threads|TokenParts,1.6002478801284496e-17
correlation,Threads|ArnrMaxFrames,6.130988934253853e-17
correlation,Threads|ArnrStrength,2.782544131714541e-17
correlation,TokenParts|ArnrMaxFrames,1.3690553193556616e-17
correlation,TokenParts|ArnrStrength,3.024582696727909e-17
correlation,ArnrMaxFrames|ArnrStrength,0.06443237444802803
covariance,Threads|TokenParts,-5.683042904845408e-19
covariance,Threads|ArnrMaxFrames,-2.3341069073472215e-19
covariance,Threads|ArnrStrength,2.1311410893170282e-19
covariance,TokenParts|ArnrMaxFrames,8.524564357268113e-19
covariance,TokenParts|ArnrStrength,2.1920308347260863e-18
covariance,ArnrMaxFrames|ArnrStrength,0.011084383719811398
performance,rmse,3.97
stability,agreement,0
stability,jaccard_mean,0.4425
