kind,name,value
x_variation,encryption,1.0
x_variation,compression,0.5555555555555554
x_variation,compressionBzip2,0.5555555555555554
x_variation,compressionGzip,0.5555555555555554
x_variation,compressionLzo,0.5555555555555554
x_variation,compressionZpaq,0.5555555555555554
x_variation,compressionLzma,0.5555555555555554
x_variation,unlimitedWindowSize,1.0
x_variation,disableCompressibilityTesting,1.0
x_variation,Level,0.6454972243679028
x_variation,ProcessorCount,0.7453559924999299
x_variation,MaxRam,0.8498365855987974
y_variation,Performance-,0.36933594341368026
y_variation,Benchmark-cpu-,0.6184639372364773
correlation,encryption|compression,0.0
correlation,encryption|compressionBzip2,0.0
correlation,encryption|compressionGzip,0.0
correlation,encryption|compressionLzo,0.0
correlation,encryption|compressionZpaq,0.0
correlation,encryption|compressionLzma,0.0
correlation,encryption|unlimitedWindowSize,0.0
correlation,encryption|disableCompressibilityTesting,0.0
correlation,encryption|Level,0.0
correlation,encryption|ProcessorCount,0.0
correlation,encryption|MaxRam,0.0
correlation,compression|compressionBzip2,0.2
correlation,compression|compressionGzip,0.2
correlation,compression|compressionLzo,0.2
correlation,compression|compressionZpaq,0.2
correlation,compression|compressionLzma,0.2
correlation,compression|unlimitedWindowSize,0.0
correlation,compression|disableCompressibilityTesting,0.0
correlation,compression|Level,0.0
correlation,compression|ProcessorCount,0.0
correlation,compression|MaxRam,0.0
correlation,compressionBzip2|compressionGzip,0.2
correlation,compressionBzip2|compressionLzo,0.2
correlation,compressionBzip2|compressionZpaq,0.2
correlation,compressionBzip2|compressionLzma,0.2
correlation,compressionBzip2|unlimitedWindowSize,0.0
correlation,compressionBzip2|disableCompressibilityTesting,0.0
correlation,compressionBzip2|Level,0.0
correlation,compressionBzip2|ProcessorCount,0.0
correlation,compressionBzip2|MaxRam,0.0
correlation,compressionGzip|compressionLzo,0.2
correlation,compressionGzip|compressionZpaq,0.2
correlation,compressionGzip|compressionLzma,0.2
correlation,compressionGzip|unlimitedWindowSize,0.0
correlation,compressionGzip|disableCompressibilityTesting,0.0
correlation,compressionGzip|Level,0.0
correlation,compressionGzip|ProcessorCount,0.0
correlation,compressionGzip|MaxRam,0.0
correlation,compressionLzo|compressionZpaq,0.2
correlation,compressionLzo|compressionLzma,0.2
correlation,compressionLzo|unlimitedWindowSize,0.0
correlation,compressionLzo|disableCompressibilityTesting,0.0
correlation,compressionLzo|Level,0.0
correlation,compressionLzo|ProcessorCount,0.0
correlation,compressionLzo|MaxRam,0.0
correlation,compressionZpaq|compressionLzma,0.2
correlation,compressionZpaq|unlimitedWindowSize,0.0
correlation,compressionZpaq|disableCompressibilityTesting,0.0
correlation,compressionZpaq|Level,0.0
correlation,compressionZpaq|ProcessorCount,0.0
correlation,compressionZpaq|MaxRam,0.0
correlation,compressionLzma|unlimitedWindowSize,0.0
correlation,compressionLzma|disableCompressibilityTesting,0.0
correlation,compressionLzma|Level,0.0
correlation,compressionLzma|ProcessorCount,0.0
correlation,compressionLzma|MaxRam,0.0
correlation,unlimitedWindowSize|disableCompressibilityTesting,0.0
correlation,unlimitedWindowSize|Level,0.0
correlation,unlimitedWindowSize|ProcessorCount,0.0
correlation,unlimitedWindowSize|MaxRam,0.0
correlation,disableCompressibilityTesting|Level,0.0
correlation,disableCompressibilityTesting|ProcessorCount,0.0
correlation,disableCompressibilityTesting|MaxRam,0.0
correlation,Level|ProcessorCount,1.7389938374244072e-17
correlation,Level|MaxRam,5.486480847046209e-17
correlation,ProcessorCount|MaxRam,2.6695028377934632e-17
covariance,Level|ProcessorCount,-3.8556848240889096e-19
covariance,Level|MaxRam,-2.5704565493926063e-19
covariance,ProcessorCount|MaxRam,-1.5851148721254406e-18
performance,rmse,3.93
stability,agreement,7
stability,jaccard_mean,0.5522
