kind,name,value
x_variation,no_asm,0.0
x_variation,no_8x8dct,1.0
x_variation,no_cabac,1.0
x_variation,no_deblock,1.0
x_variation,no_fast_pskip,1.0
x_variation,no_mbtree,1.0
x_variation,no_mixed_refs,1.0
x_variation,no_weightb,1.0
x_variation,rc_lookahead,0.0
x_variation,rc_lookahead_20,0.8888888888888888
x_variation,rc_lookahead_40,0.8888888888888888
x_variation,rc_lookahead_60,0.8888888888888888
x_variation,ref,0.0
x_variation,ref_1,0.8888888888888888
x_variation,ref_5,0.8888888888888888
x_variation,ref_9,0.8888888888888888
x_variation,core,0.0
x_variation,core1,0.75
x_variation,core2,0.75
x_variation,core3,0.75
x_variation,core4,0.75
y_variation,Benchmark-iperf-,0.4609452362435532
y_variation,Benchmark-cpu-,0.695841854204457
correlation,no_asm|no_8x8dct,
correlation,no_asm|no_cabac,
correlation,no_asm|no_deblock,
correlation,no_asm|no_fast_pskip,
correlation,no_asm|no_mbtree,
correlation,no_asm|no_mixed_refs,
correlation,no_asm|no_weightb,
correlation,no_asm|rc_lookahead,
correlation,no_asm|rc_lookahead_20,
correlation,no_asm|rc_lookahead_40,
correlation,no_asm|rc_lookahead_60,
correlation,no_asm|ref,
correlation,no_asm|ref_1,
correlation,no_asm|ref_5,
correlation,no_asm|ref_9,
correlation,no_asm|core,
correlation,no_asm|core1,
correlation,no_asm|core2,
correlation,no_asm|core3,
correlation,no_asm|core4,
correlation,no_8x8dct|no_cabac,0.0
correlation,no_8x8dct|no_deblock,0.0
correlation,no_8x8dct|no_fast_pskip,0.0
correlation,no_8x8dct|no_mbtree,0.0
correlation,no_8x8dct|no_mixed_refs,0.0
correlation,no_8x8dct|no_weightb,0.0
correlation,no_8x8dct|rc_lookahead,
correlation,no_8x8dct|rc_lookahead_20,0.0
correlation,no_8x8dct|rc_lookahead_40,0.0
correlation,no_8x8dct|rc_lookahead_60,0.0
correlation,no_8x8dct|ref,
correlation,no_8x8dct|ref_1,0.0
correlation,no_8x8dct|ref_5,0.0
correlation,no_8x8dct|ref_9,0.0
correlation,no_8x8dct|core,
correlation,no_8x8dct|core1,0.0
correlation,no_8x8dct|core2,0.0
correlation,no_8x8dct|core3,0.0
correlation,no_8x8dct|core4,0.0
correlation,no_cabac|no_deblock,0.0
correlation,no_cabac|no_fast_pskip,0.0
correlation,no_cabac|no_mbtree,0.0
correlation,no_cabac|no_mixed_refs,0.0
correlation,no_cabac|no_weightb,0.0
correlation,no_cabac|rc_lookahead,
correlation,no_cabac|rc_lookahead_20,0.0
correlation,no_cabac|rc_lookahead_40,0.0
correlation,no_cabac|rc_lookahead_60,0.0
correlation,no_cabac|ref,
correlation,no_cabac|ref_1,0.0
correlation,no_cabac|ref_5,0.0
correlation,no_cabac|ref_9,0.0
correlation,no_cabac|core,
correlation,no_cabac|core1,0.0
correlation,no_cabac|core2,0.0
correlation,no_cabac|core3,0.0
correlation,no_cabac|core4,0.0
correlation,no_deblock|no_fast_pskip,0.0
correlation,no_deblock|no_mbtree,0.0
correlation,no_deblock|no_mixed_refs,0.0
correlation,no_deblock|no_weightb,0.0
correlation,no_deblock|rc_lookahead,
correlation,no_deblock|rc_lookahead_20,0.0
correlation,no_deblock|rc_lookahead_40,0.0
correlation,no_deblock|rc_lookahead_60,0.0
correlation,no_deblock|ref,
correlation,no_deblock|ref_1,0.0
correlation,no_deblock|ref_5,0.0
correlation,no_deblock|ref_9,0.0
correlation,no_deblock|core,
correlation,no_deblock|core1,0.0
correlation,no_deblock|core2,0.0
correlation,no_deblock|core3,0.0
correlation,no_deblock|core4,0.0
correlation,no_fast_pskip|no_mbtree,0.0
correlation,no_fast_pskip|no_mixed_refs,0.0
correlation,no_fast_pskip|no_weightb,0.0
correlation,no_fast_pskip|rc_lookahead,
correlation,no_fast_pskip|rc_lookahead_20,0.0
correlation,no_fast_pskip|rc_lookahead_40,0.0
correlation,no_fast_pskip|rc_lookahead_60,0.0
correlation,no_fast_pskip|ref,
correlation,no_fast_pskip|ref_1,0.0
correlation,no_fast_pskip|ref_5,0.0
correlation,no_fast_pskip|ref_9,0.0
correlation,no_fast_pskip|core,
correlation,no_fast_pskip|core1,0.0
correlation,no_fast_pskip|core2,0.0
correlation,no_fast_pskip|core3,0.0
correlation,no_fast_pskip|core4,0.0
correlation,no_mbtree|no_mixed_refs,0.0
correlation,no_mbtree|no_weightb,0.0
correlation,no_mbtree|rc_lookahead,
correlation,no_mbtree|rc_lookahead_20,0.0
correlation,no_mbtree|rc_lookahead_40,0.0
correlation,no_mbtree|rc_lookahead_60,0.0
correlation,no_mbtree|ref,
correlation,no_mbtree|ref_1,0.0
correlation,no_mbtree|ref_5,0.0
correlation,no_mbtree|ref_9,0.0
correlation,no_mbtree|core,
correlation,no_mbtree|core1,0.0
correlation,no_mbtree|core2,0.0
correlation,no_mbtree|core3,0.0
correlation,no_mbtree|core4,0.0
correlation,no_mixed_refs|no_weightb,0.0
correlation,no_mixed_refs|rc_lookahead,
correlation,no_mixed_refs|rc_lookahead_20,0.0
correlation,no_mixed_refs|rc_lookahead_40,0.0
correlation,no_mixed_refs|rc_lookahead_60,0.0
correlation,no_mixed_refs|ref,
correlation,no_mixed_refs|ref_1,0.0
correlation,no_mixed_refs|ref_5,0.0
correlation,no_mixed_refs|ref_9,0.0
correlation,no_mixed_refs|core,
correlation,no_mixed_refs|core1,0.0
correlation,no_mixed_refs|core2,0.0
correlation,no_mixed_refs|core3,0.0
correlation,no_mixed_refs|core4,0.0
correlation,no_weightb|rc_lookahead,
correlation,no_weightb|rc_lookahead_20,0.0
correlation,no_weightb|rc_lookahead_40,0.0
correlation,no_weightb|rc_lookahead_60,0.0
correlation,no_weightb|ref,
correlation,no_weightb|ref_1,0.0
correlation,no_weightb|ref_5,0.0
correlation,no_weightb|ref_9,0.0
correlation,no_weightb|core,
correlation,no_weightb|core1,0.0
correlation,no_weightb|core2,0.0
correlation,no_weightb|core3,0.0
correlation,no_weightb|core4,0.0
correlation,rc_lookahead|rc_lookahead_20,
correlation,rc_lookahead|rc_lookahead_40,
correlation,rc_lookahead|rc_lookahead_60,
correlation,rc_lookahead|ref,
correlation,rc_lookahead|ref_1,
correlation,rc_lookahead|ref_5,
correlation,rc_lookahead|ref_9,
correlation,rc_lookahead|core,
correlation,rc_lookahead|core1,
correlation,rc_lookahead|core2,
correlation,rc_lookahead|core3,
correlation,rc_lookahead|core4,
correlation,rc_lookahead_20|rc_lookahead_40,0.5
correlation,rc_lookahead_20|rc_lookahead_60,0.5
correlation,rc_lookahead_20|ref,
correlation,rc_lookahead_20|ref_1,0.0
correlation,rc_lookahead_20|ref_5,0.0
correlation,rc_lookahead_20|ref_9,0.0
correlation,rc_lookahead_20|core,
correlation,rc_lookahead_20|core1,0.0
correlation,rc_lookahead_20|core2,0.0
correlation,rc_lookahead_20|core3,0.0
correlation,rc_lookahead_20|core4,0.0
correlation,rc_lookahead_40|rc_lookahead_60,0.5
correlation,rc_lookahead_40|ref,
correlation,rc_lookahead_40|ref_1,0.0
correlation,rc_lookahead_40|ref_5,0.0
correlation,rc_lookahead_40|ref_9,0.0
correlation,rc_lookahead_40|core,
correlation,rc_lookahead_40|core1,0.0
correlation,rc_lookahead_40|core2,0.0
correlation,rc_lookahead_40|core3,0.0
correlation,rc_lookahead_40|core4,0.0
correlation,rc_lookahead_60|ref,
correlation,rc_lookahead_60|ref_1,0.0
correlation,rc_lookahead_60|ref_5,0.0
correlation,rc_lookahead_60|ref_9,0.0
correlation,rc_lookahead_60|core,
correlation,rc_lookahead_60|core1,0.0
correlation,rc_lookahead_60|core2,0.0
correlation,rc_lookahead_60|core3,0.0
correlation,rc_lookahead_60|core4,0.0
correlation,ref|ref_1,
correlation,ref|ref_5,
correlation,ref|ref_9,
correlation,ref|core,
correlation,ref|core1,
correlation,ref|core2,
correlation,ref|core3,
correlation,ref|core4,
correlation,ref_1|ref_5,0.5
correlation,ref_1|ref_9,0.5
correlation,ref_1|core,
correlation,ref_1|core1,0.0
correlation,ref_1|core2,0.0
correlation,ref_1|core3,0.0
correlation,ref_1|core4,0.0
correlation,ref_5|ref_9,0.5
correlation,ref_5|core,
correlation,ref_5|core1,0.0
correlation,ref_5|core2,0.0
correlation,ref_5|core3,0.0
correlation,ref_5|core4,0.0
