kind,name,value
x_variation,opt_useAddressPrecalc,1.0
x_variation,opt_vectorize,0.8888888888888888
x_variation,simd_avoidUnaligned,0.8888888888888888
x_variation,data_alignFieldPointers,0.8888888888888888
x_variation,opt_unroll_interleave,0.9795918367346941
x_variation,opt_unroll,0.979591836734694
x_variation,no_explorationId,0.0019512190474419988
x_variation,explorationId,0.9378046546768638
x_variation,poly_tileSize_x,0.9999997618140811
x_variation,poly_tileSize_y,0.9999997618140811
x_variation,poly_tileSize_z,0.9999997618140811
y_variation,Compile-performance-,0.39449133157557925
y_variation,Fixed-compile-cpu-,0.3102139229272619
correlation,opt_useAddressPrecalc|opt_vectorize,0.0
correlation,opt_useAddressPrecalc|simd_avoidUnaligned,0.0
correlation,opt_useAddressPrecalc|data_alignFieldPointers,0.0
correlation,opt_useAddressPrecalc|opt_unroll_interleave,0.0
correlation,opt_useAddressPrecalc|opt_unroll,0.0
correlation,opt_useAddressPrecalc|no_explorationId,0.0
correlation,opt_useAddressPrecalc|explorationId,0.0
correlation,opt_useAddressPrecalc|poly_tileSize_x,0.0
correlation,opt_useAddressPrecalc|poly_tileSize_y,0.0
correlation,opt_useAddressPrecalc|poly_tileSize_z,0.0
correlation,opt_vectorize|simd_avoidUnaligned,0.5
correlation,opt_vectorize|data_alignFieldPointers,0.5
correlation,opt_vectorize|opt_unroll_interleave,0.0
correlation,opt_vectorize|opt_unroll,0.0
correlation,opt_vectorize|no_explorationId,0.0
correlation,opt_vectorize|explorationId,0.0
correlation,opt_vectorize|poly_tileSize_x,0.0
correlation,opt_vectorize|poly_tileSize_y,0.0
correlation,opt_vectorize|poly_tileSize_z,0.0
correlation,simd_avoidUnaligned|data_alignFieldPointers,1.0
correlation,simd_avoidUnaligned|opt_unroll_interleave,0.0
correlation,simd_avoidUnaligned|opt_unroll,0.0
correlation,simd_avoidUnaligned|no_explorationId,0.0
correlation,simd_avoidUnaligned|explorationId,0.0
correlation,simd_avoidUnaligned|poly_tileSize_x,0.0
correlation,simd_avoidUnaligned|poly_tileSize_y,0.0
correlation,simd_avoidUnaligned|poly_tileSize_z,0.0
correlation,data_alignFieldPointers|opt_unroll_interleave,0.0
correlation,data_alignFieldPointers|opt_unroll,0.0
correlation,data_alignFieldPointers|no_explorationId,0.0
correlation,data_alignFieldPointers|explorationId,0.0
correlation,data_alignFieldPointers|poly_tileSize_x,0.0
correlation,data_alignFieldPointers|poly_tileSize_y,0.0
correlation,data_alignFieldPointers|poly_tileSize_z,0.0
correlation,opt_unroll_interleave|opt_unroll,0.3535533905932738
correlation,opt_unroll_interleave|no_explorationId,0.0
correlation,opt_unroll_interleave|explorationId,0.0
correlation,opt_unroll_interleave|poly_tileSize_x,0.0
correlation,opt_unroll_interleave|poly_tileSize_y,0.0
correlation,opt_unroll_interleave|poly_tileSize_z,0.0
correlation,opt_unroll|no_explorationId,0.0
correlation,opt_unroll|explorationId,0.0
correlation,opt_unroll|poly_tileSize_x,0.0
correlation,opt_unroll|poly_tileSize_y,0.0
correlation,opt_unroll|poly_tileSize_z,0.0
correlation,no_explorationId|explorationId,1.0
correlation,no_explorationId|poly_tileSize_x,0.05834954379170748
correlation,no_explorationId|poly_tileSize_y,0.05834954379170748
correlation,no_explorationId|poly_tileSize_z,0.05834954379170748
correlation,explorationId|poly_tileSize_x,0.029174771895853747
correlation,explorationId|poly_tileSize_y,0.029174771895853747
correlation,explorationId|poly_tileSize_z,0.029174771895853747
correlation,poly_tileSize_x|poly_tileSize_y,0.0012868440228913343
correlation,poly_tileSize_x|poly_tileSize_z,0.0012868440228913343
correlation,poly_tileSize_y|poly_tileSize_z,0.0012868440228913343
performance,rmse,39.04
stability,agreement,26
stability,jaccard_mean,0.6807
