kind,name,value
x_variation,no_asm,0.0
x_variation,no_8x8dct,1.0
x_variation,no_cabac,1.0
x_variation,no_deblock,1.0
x_variation,no_fast_pskip,1.0
x_variation,no_mbtree,1.0
x_variation,no_mixed_refs,1.0
x_variation,no_weightb,1.0
x_variation,rc_lookahead,0.0
x_variation,rc_lookahead_20,0.8888888888888888
x_variation,rc_lookahead_40,0.8888888888888888
x_variation,rc_lookahead_60,0.8888888888888888
x_variation,ref,0.0
x_variation,ref_1,0.8888888888888888
x_variation,ref_5,0.8888888888888888
x_variation,ref_9,0.8888888888888888
y_variation,Performance-,0.5625129604536921
correlation,no_asm|no_8x8dct,
correlation,no_asm|no_cabac,
correlation,no_asm|no_deblock,
correlation,no_asm|no_fast_pskip,
correlation,no_asm|no_mbtree,
correlation,no_asm|no_mixed_refs,
correlation,no_asm|no_weightb,
correlation,no_asm|rc_lookahead,
correlation,no_asm|rc_lookahead_20,
correlation,no_asm|rc_lookahead_40,
correlation,no_asm|rc_lookahead_60,
correlation,no_asm|ref,
correlation,no_asm|ref_1,
correlation,no_asm|ref_5,
correlation,no_asm|ref_9,
correlation,no_8x8dct|no_cabac,0.0
correlation,no_8x8dct|no_deblock,0.0
correlation,no_8x8dct|no_fast_pskip,0.0
correlation,no_8x8dct|no_mbtree,0.0
correlation,no_8x8dct|no_mixed_refs,0.0
correlation,no_8x8dct|no_weightb,0.0
correlation,no_8x8dct|rc_lookahead,
correlation,no_8x8dct|rc_lookahead_20,0.0
correlation,no_8x8dct|rc_lookahead_40,0.0
correlation,no_8x8dct|rc_lookahead_60,0.0
correlation,no_8x8dct|ref,
correlation,no_8x8dct|ref_1,0.0
correlation,no_8x8dct|ref_5,0.0
correlation,no_8x8dct|ref_9,0.0
correlation,no_cabac|no_deblock,0.0
correlation,no_cabac|no_fast_pskip,0.0
correlation,no_cabac|no_mbtree,0.0
correlation,no_cabac|no_mixed_refs,0.0
correlation,no_cabac|no_weightb,0.0
correlation,no_cabac|rc_lookahead,
correlation,no_cabac|rc_lookahead_20,0.0
correlation,no_cabac|rc_lookahead_40,0.0
correlation,no_cabac|rc_lookahead_60,0.0
correlation,no_cabac|ref,
correlation,no_cabac|ref_1,0.0
correlation,no_cabac|ref_5,0.0
correlation,no_cabac|ref_9,0.0
correlation,no_deblock|no_fast_pskip,0.0
correlation,no_deblock|no_mbtree,0.0
correlation,no_deblock|no_mixed_refs,0.0
correlation,no_deblock|no_weightb,0.0
correlation,no_deblock|rc_lookahead,
correlation,no_deblock|rc_lookahead_20,0.0
correlation,no_deblock|rc_lookahead_40,0.0
correlation,no_deblock|rc_lookahead_60,0.0
correlation,no_deblock|ref,
correlation,no_deblock|ref_1,0.0
correlation,no_deblock|ref_5,0.0
correlation,no_deblock|ref_9,0.0
correlation,no_fast_pskip|no_mbtree,0.0
correlation,no_fast_pskip|no_mixed_refs,0.0
correlation,no_fast_pskip|no_weightb,0.0
correlation,no_fast_pskip|rc_lookahead,
correlation,no_fast_pskip|rc_lookahead_20,0.0
correlation,no_fast_pskip|rc_lookahead_40,0.0
correlation,no_fast_pskip|rc_lookahead_60,0.0
correlation,no_fast_pskip|ref,
correlation,no_fast_pskip|ref_1,0.0
correlation,no_fast_pskip|ref_5,0.0
correlation,no_fast_pskip|ref_9,0.0
correlation,no_mbtree|no_mixed_refs,0.0
correlation,no_mbtree|no_weightb,0.0
correlation,no_mbtree|rc_lookahead,
correlation,no_mbtree|rc_lookahead_20,0.0
correlation,no_mbtree|rc_lookahead_40,0.0
correlation,no_mbtree|rc_lookahead_60,0.0
correlation,no_mbtree|ref,
correlation,no_mbtree|ref_1,0.0
correlation,no_mbtree|ref_5,0.0
correlation,no_mbtree|ref_9,0.0
correlation,no_mixed_refs|no_weightb,0.0
correlation,no_mixed_refs|rc_lookahead,
correlation,no_mixed_refs|rc_lookahead_20,0.0
correlation,no_mixed_refs|rc_lookahead_40,0.0
correlation,no_mixed_refs|rc_lookahead_60,0.0
correlation,no_mixed_refs|ref,
correlation,no_mixed_refs|ref_1,0.0
correlation,no_mixed_refs|ref_5,0.0
correlation,no_mixed_refs|ref_9,0.0
correlation,no_weightb|rc_lookahead,
correlation,no_weightb|rc_lookahead_20,0.0
correlation,no_weightb|rc_lookahead_40,0.0
correlation,no_weightb|rc_lookahead_60,0.0
correlation,no_weightb|ref,
correlation,no_weightb|ref_1,0.0
correlation,no_weightb|ref_5,0.0
correlation,no_weightb|ref_9,0.0
correlation,rc_lookahead|rc_lookahead_20,
correlation,rc_lookahead|rc_lookahead_40,
correlation,rc_lookahead|rc_lookahead_60,
correlation,rc_lookahead|ref,
correlation,rc_lookahead|ref_1,
correlation,rc_lookahead|ref_5,
correlation,rc_lookahead|ref_9,
correlation,rc_lookahead_20|rc_lookahead_40,0.5
correlation,rc_lookahead_20|rc_lookahead_60,0.5
correlation,rc_lookahead_20|ref,
correlation,rc_lookahead_20|ref_1,0.0
correlation,rc_lookahead_20|ref_5,0.0
correlation,rc_lookahead_20|ref_9,0.0
correlation,rc_lookahead_40|rc_lookahead_60,0.5
correlation,rc_lookahead_40|ref,
correlation,rc_lookahead_40|ref_1,0.0
correlation,rc_lookahead_40|ref_5,0.0
correlation,rc_lookahead_40|ref_9,0.0
correlation,rc_lookahead_60|ref,
correlation,rc_lookahead_60|ref_1,0.0
correlation,rc_lookahead_60|ref_5,0.0
correlation,rc_lookahead_60|ref_9,0.0
correlation,ref|ref_1,
correlation,ref|ref_5,
correlation,ref|ref_9,
correlation,ref_1|ref_5,0.5
correlation,ref_1|ref_9,0.5
correlation,ref_5|ref_9,0.5
performance,rmse,2.49
stability,agreement,11
stability,jaccard_mean,0.6435
