kind,name,value
x_variation,batch_size,1.0
x_variation,conv_1_num_filters,1.0
x_variation,conv_1_filter_size,1.0
x_variation,conv_2_num_filters,1.0
x_variation,conv_2_filter_size,1.0
x_variation,conv_3_num_filters,1.0
x_variation,conv_3_filter_size,1.0
x_variation,log_lr,1.0
x_variation,log_beta_1,1.0
x_variation,log_beta_2,1.0
x_variation,log_epsilon,1.0
x_variation,log_decay,1.0
y_variation,Aws-theano-,0.45432230173972715
correlation,batch_size|conv_1_num_filters,0.0
correlation,batch_size|conv_1_filter_size,0.0
correlation,batch_size|conv_2_num_filters,0.0
correlation,batch_size|conv_2_filter_size,0.0
correlation,batch_size|conv_3_num_filters,0.0
correlation,batch_size|conv_3_filter_size,0.0
correlation,batch_size|log_lr,0.0
correlation,batch_size|log_beta_1,0.0
correlation,batch_size|log_beta_2,0.0
correlation,batch_size|log_epsilon,0.0
correlation,batch_size|log_decay,0.0
correlation,conv_1_num_filters|conv_1_filter_size,0.0
correlation,conv_1_num_filters|conv_2_num_filters,0.0
correlation,conv_1_num_filters|conv_2_filter_size,0.0
correlation,conv_1_num_filters|conv_3_num_filters,0.0
correlation,conv_1_num_filters|conv_3_filter_size,0.0
correlation,conv_1_num_filters|log_lr,0.0
correlation,conv_1_num_filters|log_beta_1,0.0
correlation,conv_1_num_filters|log_beta_2,0.0
correlation,conv_1_num_filters|log_epsilon,0.0
correlation,conv_1_num_filters|log_decay,0.0
correlation,conv_1_filter_size|conv_2_num_filters,0.0
correlation,conv_1_filter_size|conv_2_filter_size,0.0
correlation,conv_1_filter_size|conv_3_num_filters,0.0
correlation,conv_1_filter_size|conv_3_filter_size,0.0
correlation,conv_1_filter_size|log_lr,0.0
correlation,conv_1_filter_size|log_beta_1,0.0
correlation,conv_1_filter_size|log_beta_2,0.0
correlation,conv_1_filter_size|log_epsilon,0.0
correlation,conv_1_filter_size|log_decay,0.0
correlation,conv_2_num_filters|conv_2_filter_size,0.0
correlation,conv_2_num_filters|conv_3_num_filters,0.0
correlation,conv_2_num_filters|conv_3_filter_size,0.0
correlation,conv_2_num_filters|log_lr,0.0
correlation,conv_2_num_filters|log_beta_1,0.0
correlation,conv_2_num_filters|log_beta_2,0.0
correlation,conv_2_num_filters|log_epsilon,0.0
correlation,conv_2_num_filters|log_decay,0.0
correlation,conv_2_filter_size|conv_3_num_filters,0.0
correlation,conv_2_filter_size|conv_3_filter_size,0.0
correlation,conv_2_filter_size|log_lr,0.0
correlation,conv_2_filter_size|log_beta_1,0.0
correlation,conv_2_filter_size|log_beta_2,0.0
correlation,conv_2_filter_size|log_epsilon,0.0
correlation,conv_2_filter_size|log_decay,0.0
correlation,conv_3_num_filters|conv_3_filter_size,0.0
correlation,conv_3_num_filters|log_lr,0.0
correlation,conv_3_num_filters|log_beta_1,0.0
correlation,conv_3_num_filters|log_beta_2,0.0
correlation,conv_3_num_filters|log_epsilon,0.0
correlation,conv_3_num_filters|log_decay,0.0
correlation,conv_3_filter_size|log_lr,0.0
correlation,conv_3_filter_size|log_beta_1,0.0
correlation,conv_3_filter_size|log_beta_2,0.0
correlation,conv_3_filter_size|log_epsilon,0.0
correlation,conv_3_filter_size|log_decay,0.0
correlation,log_lr|log_beta_1,0.0
correlation,log_lr|log_beta_2,0.0
correlation,log_lr|log_epsilon,0.0
correlation,log_lr|log_decay,0.0
correlation,log_beta_1|log_beta_2,0.0
correlation,log_beta_1|log_epsilon,0.0
correlation,log_beta_1|log_decay,0.0
correlation,log_beta_2|log_epsilon,0.0
correlation,log_beta_2|log_decay,0.0
correlation,log_epsilon|log_decay,0.0
performance,rmse,7.18
stability,agreement,21
stability,jaccard_mean,0.6444
