kind,name,value
x_variation,root,0.0
x_variation,opt_useAddressPrecalc,1.0
x_variation,opt_vectorize,0.8888888888888888
x_variation,simd_avoidUnaligned,0.8888888888888888
x_variation,data_alignFieldPointers,0.8888888888888888
x_variation,opt_unroll_interleave,0.9795918367346941
x_variation,opt_unroll,0.979591836734694
x_variation,no_explorationId,0.0019512190474419988
x_variation,explorationId,0.9378046546768638
x_variation,Poly_tileSize_x,0.6216225173021909
x_variation,Poly_tileSize_y,0.621622517302191
x_variation,Poly_tileSize_z,0.621622517302191
y_variation,Performance-,0.2881319715334267
correlation,root|opt_useAddressPrecalc,
correlation,root|opt_vectorize,
correlation,root|simd_avoidUnaligned,
correlation,root|data_alignFieldPointers,
correlation,root|opt_unroll_interleave,
correlation,root|opt_unroll,
correlation,root|no_explorationId,
correlation,root|explorationId,
correlation,root|Poly_tileSize_x,
correlation,root|Poly_tileSize_y,
correlation,root|Poly_tileSize_z,
correlation,opt_useAddressPrecalc|opt_vectorize,0.0
correlation,opt_useAddressPrecalc|simd_avoidUnaligned,0.0
correlation,opt_useAddressPrecalc|data_alignFieldPointers,0.0
correlation,opt_useAddressPrecalc|opt_unroll_interleave,0.0
correlation,opt_useAddressPrecalc|opt_unroll,0.0
correlation,opt_useAddressPrecalc|no_explorationId,0.0
correlation,opt_useAddressPrecalc|explorationId,0.0
correlation,opt_useAddressPrecalc|Poly_tileSize_x,0.0
correlation,opt_useAddressPrecalc|Poly_tileSize_y,0.0
correlation,opt_useAddressPrecalc|Poly_tileSize_z,0.0
correlation,opt_vectorize|simd_avoidUnaligned,0.5
correlation,opt_vectorize|data_alignFieldPointers,0.5
correlation,opt_vectorize|opt_unroll_interleave,0.0
correlation,opt_vectorize|opt_unroll,0.0
correlation,opt_vectorize|no_explorationId,0.0
correlation,opt_vectorize|explorationId,0.0
correlation,opt_vectorize|Poly_tileSize_x,0.0
correlation,opt_vectorize|Poly_tileSize_y,0.0
correlation,opt_vectorize|Poly_tileSize_z,0.0
correlation,simd_avoidUnaligned|data_alignFieldPointers,1.0
correlation,simd_avoidUnaligned|opt_unroll_interleave,0.0
correlation,simd_avoidUnaligned|opt_unroll,0.0
correlation,simd_avoidUnaligned|no_explorationId,0.0
correlation,simd_avoidUnaligned|explorationId,0.0
correlation,simd_avoidUnaligned|Poly_tileSize_x,0.0
correlation,simd_avoidUnaligned|Poly_tileSize_y,0.0
correlation,simd_avoidUnaligned|Poly_tileSize_z,0.0
correlation,data_alignFieldPointers|opt_unroll_interleave,0.0
correlation,data_alignFieldPointers|opt_unroll,0.0
correlation,data_alignFieldPointers|no_explorationId,0.0
correlation,data_alignFieldPointers|explorationId,0.0
correlation,data_alignFieldPointers|Poly_tileSize_x,0.0
correlation,data_alignFieldPointers|Poly_tileSize_y,0.0
correlation,data_alignFieldPointers|Poly_tileSize_z,0.0
correlation,opt_unroll_interleave|opt_unroll,0.3535533905932738
correlation,opt_unroll_interleave|no_explorationId,0.0
correlation,opt_unroll_interleave|explorationId,0.0
correlation,opt_unroll_interleave|Poly_tileSize_x,0.0
correlation,opt_unroll_interleave|Poly_tileSize_y,0.0
correlation,opt_unroll_interleave|Poly_tileSize_z,0.0
correlation,opt_unroll|no_explorationId,0.0
correlation,opt_unroll|explorationId,0.0
correlation,opt_unroll|Poly_tileSize_x,0.0
correlation,opt_unroll|Poly_tileSize_y,0.0
correlation,opt_unroll|Poly_tileSize_z,0.0
correlation,no_explorationId|explorationId,1.0
correlation,no_explorationId|Poly_tileSize_x,0.019291727330844197
correlation,no_explorationId|Poly_tileSize_y,0.019291727330844194
correlation,no_explorationId|Poly_tileSize_z,0.019291727330844194
correlation,explorationId|Poly_tileSize_x,0.019291727330844194
correlation,explorationId|Poly_tileSize_y,0.01929172733084419
correlation,explorationId|Poly_tileSize_z,0.01929172733084419
correlation,Poly_tileSize_x|Poly_tileSize_y,0.0003721707434076642
correlation,Poly_tileSize_x|Poly_tileSize_z,0.00037217074340774835
correlation,Poly_tileSize_y|Poly_tileSize_z,0.00037217074340805913
covariance,Poly_tileSize_x|Poly_tileSize_y,3.595346573981439e-05
covariance,Poly_tileSize_x|Poly_tileSize_z,3.595346573981477e-05
covariance,Poly_tileSize_y|Poly_tileSize_z,3.595346573981479e-05
performance,rmse,15.87
stability,agreement,24
stability,jaccard_mean,0.5508
