kind,name,value
x_variation,Culture,0.560414328050902
x_variation,Criticality,0.5826024448086291
x_variation,Criticality Modifier,0.5988650958280127
x_variation,Initial Known,0.5671049957924991
x_variation,Inter-Dependency,0.5789943651342703
x_variation,Dynamism,0.5760926598809757
x_variation,Size,0.5866621776121952
x_variation,Plan,0.5509375444896947
x_variation,Team Size,0.5911246738437048
y_variation,Cost-,0.3389968319646322
y_variation,Score-,0.153783572825753
y_variation,Idle-,0.6079050565905969
correlation,Culture|Criticality,0.020046460935524604
correlation,Culture|Criticality Modifier,0.06969039377733499
correlation,Culture|Initial Known,0.10219590576025457
correlation,Culture|Inter-Dependency,0.008020339411077168
correlation,Culture|Dynamism,0.058354428528302596
correlation,Culture|Size,0.06874767741009881
correlation,Culture|Plan,0.02205804678720537
correlation,Culture|Team Size,0.0064231313661047415
correlation,Criticality|Criticality Modifier,0.003032082737294789
correlation,Criticality|Initial Known,0.06948542999532088
correlation,Criticality|Inter-Dependency,0.019560969456816964
correlation,Criticality|Dynamism,0.06408040838377925
correlation,Criticality|Size,0.026580468261791623
correlation,Criticality|Plan,0.061568267712612965
correlation,Criticality|Team Size,0.03725388190520187
correlation,Criticality Modifier|Initial Known,0.03969279806164245
correlation,Criticality Modifier|Inter-Dependency,0.00966335586058898
correlation,Criticality Modifier|Dynamism,0.03212193512937162
correlation,Criticality Modifier|Size,0.03134699394197918
correlation,Criticality Modifier|Plan,0.0031931173042611042
correlation,Criticality Modifier|Team Size,0.039296811729435076
correlation,Initial Known|Inter-Dependency,0.06904550834456055
correlation,Initial Known|Dynamism,0.018267347752460777
correlation,Initial Known|Size,0.0010285061853251062
correlation,Initial Known|Plan,0.07843939944994395
correlation,Initial Known|Team Size,0.046968559456314236
correlation,Inter-Dependency|Dynamism,0.11607027231115657
correlation,Inter-Dependency|Size,0.015177596901679084
correlation,Inter-Dependency|Plan,0.06568967419400677
correlation,Inter-Dependency|Team Size,0.006609114591176683
correlation,Dynamism|Size,0.00700798726301021
correlation,Dynamism|Plan,0.024546310398210074
correlation,Dynamism|Team Size,0.021339443980885393
correlation,Size|Plan,0.01902845731315969
correlation,Size|Team Size,0.032440754010444675
correlation,Plan|Team Size,0.016593704973936866
covariance,Culture|Criticality,0.0016395652781292082
covariance,Culture|Criticality Modifier,0.005858961141221154
covariance,Culture|Initial Known,-0.00813608857533075
covariance,Culture|Inter-Dependency,0.0006519072070182
covariance,Culture|Dynamism,-0.004719379044943504
covariance,Culture|Size,0.005661934202071161
covariance,Culture|Plan,-0.0017060357214915584
covariance,Culture|Team Size,0.0005330213309852998
covariance,Criticality|Criticality Modifier,-0.00026500362787832527
covariance,Criticality|Initial Known,-0.005750942066641092
covariance,Criticality|Inter-Dependency,-0.001652899629103655
covariance,Criticality|Dynamism,-0.00538765010013677
covariance,Criticality|Size,-0.0022757915870161346
covariance,Criticality|Plan,0.004950408909262033
covariance,Criticality|Team Size,-0.0032139002325231826
covariance,Criticality Modifier|Initial Known,-0.0033768646722953186
covariance,Criticality Modifier|Inter-Dependency,-0.0008393455244614144
covariance,Criticality Modifier|Dynamism,0.0027760834139025827
covariance,Criticality Modifier|Size,0.002758814238525608
covariance,Criticality Modifier|Plan,-0.0002639099176835947
covariance,Criticality Modifier|Team Size,0.0034847760429536677
covariance,Initial Known|Inter-Dependency,0.00567914175484377
covariance,Initial Known|Dynamism,-0.0014949985752795208
covariance,Initial Known|Size,-8.571719253344876e-05
covariance,Initial Known|Plan,-0.006139168726366616
covariance,Initial Known|Team Size,0.0039442030838807395
covariance,Inter-Dependency|Dynamism,-0.009698334290417525
covariance,Inter-Dependency|Size,-0.0012914420072617369
covariance,Inter-Dependency|Plan,-0.005249081083312664
covariance,Inter-Dependency|Team Size,-0.0005666386235120286
covariance,Dynamism|Size,-0.0005933120966725977
covariance,Dynamism|Plan,-0.0019515981601224907
covariance,Dynamism|Team Size,-0.0018203881338017549
covariance,Size|Plan,-0.00154064829164789
covariance,Size|Team Size,0.0028181725769698285
covariance,Plan|Team Size,0.0013537369659011947
performance,rmse,16.48
stability,agreement,0
stability,jaccard_mean,0.2551
