kind,name,value
x_variation,Name,0.0
x_variation,Variation,0.0
x_variation,DIY,0.0
x_variation,Sell,0.10887744316944292
x_variation,Color 1,0.0
x_variation,Color 2,0.0
x_variation,Size,0.0
x_variation,Miles Price,0.0
x_variation,Source,0.0
x_variation,Source Notes,0.0
x_variation,Seasonal Availability,0.0
x_variation,Mannequin Piece,0.0
x_variation,Version,0.0
x_variation,Style,0.0
x_variation,Label Themes,0.0
x_variation,Villager Equippable,0.0
x_variation,Catalog,0.0
x_variation,Filename,0.0
x_variation,Internal ID,0.3936591653388493
x_variation,Unique Entry ID,0.0
y_variation,Buy-,0.3968046373471786
correlation,Name|Variation,
correlation,Name|DIY,
correlation,Name|Sell,
correlation,Name|Color 1,
correlation,Name|Color 2,
correlation,Name|Size,
correlation,Name|Miles Price,
correlation,Name|Source,
correlation,Name|Source Notes,
correlation,Name|Seasonal Availability,
correlation,Name|Mannequin Piece,
correlation,Name|Version,
correlation,Name|Style,
correlation,Name|Label Themes,
correlation,Name|Villager Equippable,
correlation,Name|Catalog,
correlation,Name|Filename,
correlation,Name|Internal ID,
correlation,Name|Unique Entry ID,
correlation,Variation|DIY,
correlation,Variation|Sell,
correlation,Variation|Color 1,
correlation,Variation|Color 2,
correlation,Variation|Size,
correlation,Variation|Miles Price,
correlation,Variation|Source,
correlation,Variation|Source Notes,
correlation,Variation|Seasonal Availability,
correlation,Variation|Mannequin Piece,
correlation,Variation|Version,
correlation,Variation|Style,
correlation,Variation|Label Themes,
correlation,Variation|Villager Equippable,
correlation,Variation|Catalog,
correlation,Variation|Filename,
correlation,Variation|Internal ID,
correlation,Variation|Unique Entry ID,
correlation,DIY|Sell,
correlation,DIY|Color 1,
correlation,DIY|Color 2,
correlation,DIY|Size,
correlation,DIY|Miles Price,
correlation,DIY|Source,
correlation,DIY|Source Notes,
correlation,DIY|Seasonal Availability,
correlation,DIY|Mannequin Piece,
correlation,DIY|Version,
correlation,DIY|Style,
correlation,DIY|Label Themes,
correlation,DIY|Villager Equippable,
correlation,DIY|Catalog,
correlation,DIY|Filename,
correlation,DIY|Internal ID,
correlation,DIY|Unique Entry ID,
correlation,Sell|Color 1,
correlation,Sell|Color 2,
correlation,Sell|Size,
correlation,Sell|Miles Price,
correlation,Sell|Source,
correlation,Sell|Source Notes,
correlation,Sell|Seasonal Availability,
correlation,Sell|Mannequin Piece,
correlation,Sell|Version,
correlation,Sell|Style,
correlation,Sell|Label Themes,
