kind,name,value
x_variation,Spouts,1.0
x_variation,Max_spout,0.7323162551877481
x_variation,Spout_wait,0.778383602440146
x_variation,Spliters,0.7483314773547883
x_variation,Counters,0.7551476239016431
x_variation,Netty_min_wait,0.9030099651970509
y_variation,Throughput-,0.42329820789104317
correlation,Spouts|Max_spout,2.9196852144625396e-16
correlation,Spouts|Spout_wait,2.622766757430023e-17
correlation,Spouts|Spliters,1.9369206541728718e-16
correlation,Spouts|Counters,1.0518847422612518e-15
correlation,Spouts|Netty_min_wait,2.194741904820549e-16
correlation,Max_spout|Spout_wait,6.412713872994114e-17
correlation,Max_spout|Spliters,2.1263272872125812e-16
correlation,Max_spout|Counters,2.0085908892758565e-16
correlation,Max_spout|Netty_min_wait,2.172745925685359e-16
correlation,Spout_wait|Spliters,7.42447496975834e-17
correlation,Spout_wait|Counters,1.3138860869818737e-17
correlation,Spout_wait|Netty_min_wait,1.999354364054537e-17
correlation,Spliters|Counters,9.74356192933626e-18
correlation,Spliters|Netty_min_wait,1.0984895479227002e-17
correlation,Counters|Netty_min_wait,2.6105627253863537e-18
covariance,Spouts|Max_spout,0.0
covariance,Spouts|Spout_wait,-6.170048070164121e-19
covariance,Spouts|Spliters,0.0
covariance,Spouts|Counters,0.0
covariance,Spouts|Netty_min_wait,0.0
covariance,Max_spout|Spout_wait,1.1106086526295417e-17
covariance,Max_spout|Spliters,1.8510144210492362e-18
covariance,Max_spout|Counters,-2.7765216315738543e-18
covariance,Max_spout|Netty_min_wait,-1.5425120175410302e-19
covariance,Spout_wait|Spliters,-3.7020288420984725e-18
covariance,Spout_wait|Counters,4.627536052623091e-19
covariance,Spout_wait|Netty_min_wait,1.0411956118401953e-18
covariance,Spliters|Counters,5.784420065778863e-18
covariance,Spliters|Netty_min_wait,1.4461050164447157e-19
covariance,Counters|Netty_min_wait,5.784420065778863e-19
performance,rmse,2.22
stability,agreement,5
stability,jaccard_mean,0.4799
