dataset_name,n_cov_pairs,mean_pairwise_cov,mean_abs_pairwise_cov,stability_score,performance_score,stability_jaccard
WA_Fn-UseC_-HR-Employee-Attrition,210,0.002180333991266834,0.0036581126666217142,1.0,22.19,0.2
all_players,903,0.011394184987290137,0.013756024437924197,0.0,25.94,0.1057
player_statistics_cleaned_final,190,0.0020250356211109566,0.023037120805722195,24.0,10.3,0.3456
student_dropout,120,0.0017952338644894158,0.0070121673105095084,89.0,0.0,0.5666
FFM-1000-200-0.50-SAT-1,0,,,3.0,25.65,0.3129
FFM-125-25-0.50-SAT-1,0,,,0.0,23.37,0.3505
FFM-250-50-0.50-SAT-1,0,,,0.0,25.48,0.3471
FFM-500-100-0.50-SAT-1,0,,,0.0,25.02,0.3458
FM-500-100-0.25-SAT-1,0,,,6.0,26.92,0.2964
FM-500-100-0.50-SAT-1,0,,,1.0,30.17,0.2726
FM-500-100-0.75-SAT-1,0,,,3.0,28.61,0.3483
FM-500-100-1.00-SAT-1,0,,,0.0,23.58,0.3312
Scrum100k,0,,,0.0,33.87,0.3157
Scrum10k,0,,,0.0,25.62,0.242
Scrum1k,0,,,4.0,20.0,0.3154
billing10k,0,,,1.0,24.21,0.3194
Apache_AllMeasurements,0,,,16.0,6.21,0.4442
HSMGP_num,3,-0.0017727930535455872,0.0017727930535455872,49.0,3.62,0.4593
SQL_AllMeasurements,0,,,15.0,26.74,0.4258
SS-A,3,-0.0041677523494447425,0.0042672719126500775,61.0,8.33,0.5991
SS-B,3,-0.00783037147292416,0.00783037147292416,53.0,9.43,0.7482
SS-C,3,5.87808351886251e-19,5.87808351886251e-19,68.0,11.72,0.6141
SS-D,3,1.8978171361113787e-19,1.3284719952779652e-18,14.0,24.27,0.6439
SS-E,3,6.372140980188536e-19,1.0293458506458404e-18,54.0,25.91,0.6002
SS-F,3,1.8978171361113787e-19,1.3284719952779652e-18,22.0,19.46,0.6017
SS-G,3,1.8978171361113787e-19,1.3284719952779652e-18,16.0,20.26,0.5709
SS-H,6,-0.001181413972111648,0.004521963824289406,63.0,8.03,0.6715
SS-I,10,4.204873363578162e-19,2.110672260877382e-18,25.0,15.05,0.5454
SS-J,15,-1.9077288927091995e-18,3.154163181882011e-18,5.0,29.35,0.525
SS-K,15,9.145810837337026e-19,1.8812219480594148e-18,38.0,31.77,0.5507
SS-L,45,0.0026934326536624453,0.0029981442266020183,63.0,3.1,0.5085
SS-M,0,,,9.0,1.07,0.5841
SS-N,136,-0.0005463979636334153,0.0027798052333387604,18.0,52.4,0.2914
SS-O,3,2.310582590727776e-18,2.310582590727776e-18,0.0,13.9,0.498
SS-P,0,,,0.0,5.47,0.6513
SS-Q,6,0.0018473972866352333,0.0018473972866352335,0.0,3.97,0.4425
SS-R,3,0.0030189604869960644,0.0030189604869960657,1.0,17.74,0.5174
SS-S,15,-1.9077288927091995e-18,3.154163181882011e-18,57.0,3.59,0.5096
SS-T,3,-7.425763364911974e-19,7.425763364911974e-19,7.0,3.93,0.5522
SS-U,0,,,0.0,5.58,0.6286
SS-V,0,,,0.0,21.31,0.5806
SS-W,0,,,12.0,46.17,0.6315
SS-X,0,,,26.0,39.04,0.6807
X264_AllMeasurements,0,,,11.0,2.49,0.6435
rs-6d-c3_obj1,15,-1.9077288927091995e-18,3.154163181882011e-18,57.0,1.14,0.5068
