dataset_name,mean_feature_var,mean_target_var,mean_pairwise_cor,stability_score,performance_score,stability_jaccard
7z,0.6483935759125966,0.3669154711031495,0.03787878787878788,54.0,3.8,0.5261
A2C_Acrobot,0.6462056170315031,0.5783390849862097,0.06891430981307133,0.0,23.82,0.2915
A2C_CartPole,0.5910242448969719,0.37876175041907245,0.04208131127472777,2.0,52.33,0.4096
Apache_AllMeasurements,0.8641975308641975,0.5294918882041507,0.017857142857142856,16.0,6.21,0.4442
BDBC,0.825,0.6063580993770993,0.0375,56.0,1.18,0.6484
BankChurners,0.5515830492301714,0.46301091886769163,0.0928015222767686,21.0,28.19,0.3194
Car_price_cleaned,0.39898460100092825,0.6611305681298442,0.3497008001700174,6.0,21.39,0.1966
Data_COVID19_Indonesia,0.3637667690044679,0.25552609925856995,0.4192527190381374,57.0,24.18,0.4324
FFM-1000-200-0.50-SAT-1,0.01298830712643678,0.3428585225454785,0.020361817701763152,3.0,25.65,0.3129
FFM-125-25-0.50-SAT-1,0.11250999999999999,0.3882404933706127,0.033636417476048244,0.0,23.37,0.3505
FFM-250-50-0.50-SAT-1,0.0529677465625,0.3585978205695475,0.022779395852487942,0.0,25.48,0.3471
FFM-500-100-0.50-SAT-1,0.02774913333333334,0.363341091983341,0.03240565189751774,0.0,25.02,0.3458
FM-500-100-0.25-SAT-1,0.027305821586073496,0.34187485156296843,0.0440125208989465,6.0,26.92,0.2964
FM-500-100-0.50-SAT-1,0.026504864561403513,0.37932885996667726,0.028856995891022176,1.0,30.17,0.2726
FM-500-100-0.75-SAT-1,0.026502630450097847,0.3803124984572636,0.021646991666520635,3.0,28.61,0.3483
FM-500-100-1.00-SAT-1,0.028424554755381606,0.38047551625423887,0.028349200589213662,0.0,23.58,0.3312
HSMGP_num,0.5798879016010486,0.383221890855473,0.06892719765708274,49.0,3.62,0.4593
HSQLDB,0.7283950617283951,0.762342591270299,0.05873015873015873,36.0,1.05,0.3508
Health-ClosedIssues0000,0.6809534660167202,0.38327940058582516,0.009602618323440979,68.0,16.45,0.5696
Health-ClosedIssues0001,0.6809534660167202,0.4563075861535193,0.009602618323440979,0.0,50.31,0.3891
Health-ClosedIssues0002,0.6809534660167202,0.6174193471035706,0.009602618323440979,0.0,20.28,0.4386
Health-ClosedIssues0003,0.6809534660167202,0.17194248728058623,0.009602618323440979,37.0,24.48,0.5152
Health-ClosedIssues0004,0.6809534660167202,0.25892963833154714,0.009602618323440979,26.0,52.91,0.4432
Health-ClosedIssues0005,0.6809534660167202,0.5274741767915206,0.009602618323440979,0.0,33.01,0.3814
Health-ClosedIssues0006,0.6809534660167202,0.2590923077353114,0.009602618323440979,0.0,22.86,0.5003
Health-ClosedIssues0007,0.6809534660167202,0.14281083818785376,0.009602618323440979,40.0,77.13,0.379
Health-ClosedIssues0008,0.6809534660167202,0.3074367599983138,0.009602618323440979,0.0,22.18,0.4983
Health-ClosedIssues0009,0.6809534660167202,0.22558279525804478,0.009602618323440979,42.0,64.32,0.4921
Health-ClosedIssues0010,0.6809534660167202,0.09450024974499123,0.009602618323440979,1.0,66.52,0.4314
Health-ClosedIssues0011,0.6809534660167202,0.7239868080611757,0.009602618323440979,0.0,0.0,0.3757
Health-ClosedPRs0000,0.6809534660167202,0.9429268264292836,0.009602618323440979,100.0,0.0,0.8587
Health-ClosedPRs0002,0.6809534660167202,0.6147777879034457,0.009602618323440979,0.0,0.0,0.3952
Health-ClosedPRs0003,0.6809534660167202,0.6368918462502143,0.009602618323440979,0.0,1.18,0.4308
Health-ClosedPRs0004,0.6809534660167202,0.39635449284849605,0.009602618323440979,0.0,0.0,0.388
Health-ClosedPRs0005,0.6809534660167202,0.6327084851972261,0.009602618323440979,0.0,0.0,0.3631
Health-ClosedPRs0006,0.6809534660167202,0.23528354236712992,0.009602618323440979,52.0,67.08,0.4431
Health-ClosedPRs0007,0.6809534660167202,0.33987744748532994,0.009602618323440979,17.0,0.0,0.5007
Health-ClosedPRs0008,0.6809534660167202,0.3257428973027617,0.009602618323440979,34.0,48.12,0.4627
Health-ClosedPRs0009,0.6809534660167202,0.2509401385919597,0.009602618323440979,3.0,53.79,0.4138
Health-ClosedPRs0010,0.6809534660167202,0.2547325957261419,0.009602618323440979,0.0,55.41,0.3967
Health-ClosedPRs0011,0.6809534660167202,0.6249072101597188,0.009602618323440979,1.0,0.0,0.4139
Health-Commits0000,0.6809534660167202,0.5702870396470537,0.009602618323440979,88.0,19.82,0.5918
Health-Commits0001,0.6809534660167202,0.7048015088336169,0.009602618323440979,0.0,3.39,0.4152
Health-Commits0002,0.6809534660167202,0.6108686201548195,0.009602618323440979,0.0,54.11,0.4095
Health-Commits0003,0.6809534660167202,0.22895105249081493,0.009602618323440979,0.0,43.12,0.4332
Health-Commits0004,0.6809534660167202,0.26339375884958344,0.009602618323440979,52.0,59.69,0.5143
Health-Commits0005,0.6809534660167202,0.47729510085962756,0.009602618323440979,20.0,17.19,0.5226
Health-Commits0006,0.6809534660167202,0.41964346075381304,0.009602618323440979,0.0,35.41,0.4279
Health-Commits0007,0.6809534660167202,0.3990410164124638,0.009602618323440979,31.0,26.04,0.4663
Health-Commits0008,0.6809534660167202,0.16903189559787668,0.009602618323440979,2.0,46.71,0.4326
Health-Commits0009,0.6809534660167202,0.22839070781277762,0.009602618323440979,0.0,22.06,0.5277
Health-Commits0010,0.6809534660167202,0.46705885900076444,0.009602618323440979,0.0,30.92,0.4323
Health-Commits0011,0.6809534660167202,0.4554843984364516,0.009602618323440979,0.0,0.0,0.3359
LLVM,1.0,0.4906570283025088,0.0,36.0,8.46,0.6715
Life_Expectancy_Data,0.5432832781767414,0.3736905454087449,0.4220693291621702,11.0,12.55,0.2429
Loan,0.4046418242412546,0.2858977583007983,0.09342466585732707,1.0,42.94,0.245
Marketing_Analytics,0.49064458017814944,0.35989117143887905,0.14156418314632968,0.0,28.07,0.2058
Medical_Data_and_Hospital_Readmissions,0.3177669530945677,0.9961908250932648,0.031348794514226105,0.0,0.0,0.1461
PostgreSQL,0.8399641043176141,0.5331656995253677,2.3185973468610965e-19,11.0,4.33,0.4854
SQL_AllMeasurements,0.501255137343692,0.3698853415841411,0.14425313078103513,15.0,26.74,0.4258
SS-A,0.5540944554749719,0.3746497273439189,0.06845495679745207,61.0,8.33,0.5991
SS-B,0.5173404119900088,0.40635741692064786,0.1317841908059182,53.0,9.43,0.7482
SS-C,0.6027720731707938,0.4684818578801406,1.5422308655711763e-16,68.0,11.72,0.6141
SS-D,0.706671198738667,0.37909546207103306,1.4395088444819186e-16,14.0,24.27,0.6439
SS-E,0.6612433980378705,0.3449589212815105,6.806942437192801e-16,54.0,25.91,0.6002
SS-F,0.706671198738667,0.44137364849696603,1.4395088444819186e-16,22.0,19.46,0.6017
SS-G,0.706671198738667,0.45187026342333836,1.4395088444819186e-16,16.0,20.26,0.5709
SS-H,0.7723223890737434,0.4779335375270434,0.03265667797177726,63.0,8.03,0.6715
SS-I,0.7773236189632933,0.3731746042890159,3.2246093684082925e-16,25.0,15.05,0.5454
SS-J,0.8274805652878322,0.46302146738580785,3.1130703788532967e-16,5.0,29.35,0.525
SS-K,0.8195314873468961,0.3978671712722398,1.7392379403135773e-16,38.0,31.77,0.5507
SS-L,0.8969366459002976,0.5854866357090631,0.013709000120810597,63.0,3.1,0.5085
SS-M,0.7712418300653594,0.7128766765335683,0.05873015873015873,9.0,1.07,0.5841
SS-N,0.4581467706875034,0.16030858487527716,0.058349802417655736,18.0,52.4,0.2914
SS-O,0.8318967514842851,0.3851816021213391,0.044444444444444446,0.0,13.9,0.498
SS-P,0.8864072654373736,0.5854866357090631,0.013709000120810656,0.0,5.47,0.6513
SS-Q,0.7754774062571522,0.5587863855387476,0.055270299970582866,0.0,3.97,0.4425
SS-R,0.7896521396402089,0.5429311499556602,0.06698072726391728,1.0,17.74,0.5174
SS-S,0.8274805652878322,0.46302146738580785,3.1130703788532967e-16,57.0,3.59,0.5096
SS-T,0.7145019279833301,0.4938999403250788,0.04545454545454546,7.0,3.93,0.5522
SS-U,0.7301587301587301,0.5783935452240051,0.03676470588235294,0.0,5.58,0.6286
SS-V,0.8197565428680692,0.4823344362202129,0.06630766523428647,0.0,21.31,0.5806
SS-W,1.0,0.3262937694147571,0.0,12.0,46.17,0.6315
SS-X,0.8696004999366004,0.3523526272514206,0.06581794308590239,26.0,39.04,0.6807
Scrum100k,0.16311923229999997,0.36213452906627186,0.02940174314516001,0.0,33.87,0.3157
Scrum10k,0.13454922419354837,0.40911297478955966,0.05708426953308494,0.0,25.62,0.242
Scrum1k,0.10086619354838709,0.4320180618765433,0.05799272877744157,4.0,20.0,0.3154
WA_Fn-UseC_-HR-Employee-Attrition,0.5656382198113088,0.37609793000068326,0.06556899376073369,1.0,22.19,0.2
WA_Fn-UseC_-Telco-Customer-Churn,0.9007884912111209,0.56072993055504,0.3430374110075931,1.0,1.83,0.4965
Wine_quality,0.2542940034855197,0.32536096006244397,0.2062829656686492,0.0,33.83,0.2263
X264_AllMeasurements,0.7708333333333333,0.5625129604536921,0.038461538461538464,11.0,2.49,0.6435
accessories,0.5891665045634926,0.1876958806910119,0.6149561324593698,90.0,87.54,0.3991
all_players,0.29954965503648606,0.3710182530642264,0.40372807371627834,0.0,25.94,0.1057
