task_id,seq,changed,flipped
behavior_data__WA_Fn-UseC_-HR-Employee-Attrition,smac/smac/smac,False,False
behavior_data__all_players,ezr/ezr/tie,True,False
behavior_data__player_statistics_cleaned_final,ezr/ezr/ezr,False,False
behavior_data__student_dropout,tie/tie/tie,False,False
binary_config__FFM-1000-200-0.50-SAT-1,smac/smac/smac,False,False
binary_config__FFM-125-25-0.50-SAT-1,smac/smac/smac,False,False
binary_config__FFM-250-50-0.50-SAT-1,smac/smac/smac,False,False
binary_config__FFM-500-100-0.50-SAT-1,tie/tie/smac,True,False
binary_config__FM-500-100-0.25-SAT-1,smac/smac/smac,False,False
binary_config__FM-500-100-0.50-SAT-1,ezr/tie/smac,True,True
binary_config__FM-500-100-0.75-SAT-1,smac/smac/smac,False,False
binary_config__FM-500-100-1.00-SAT-1,tie/smac/smac,True,False
binary_config__Scrum100k,smac/smac/smac,False,False
binary_config__Scrum10k,tie/smac/smac,True,False
binary_config__Scrum1k,tie/smac/smac,True,False
binary_config__billing10k,tie/smac/smac,True,False
config__Apache_AllMeasurements,ezr/tie/tie,True,False
config__HSMGP_num,tie/tie/tie,False,False
config__SQL_AllMeasurements,ezr/ezr/tie,True,False
config__SS-A,tie/smac/smac,True,False
config__SS-B,tie/smac/smac,True,False
config__SS-C,smac/smac/smac,False,False
config__SS-D,smac/tie/tie,True,False
config__SS-E,tie/tie/smac,True,False
config__SS-F,smac/smac/smac,False,False
config__SS-G,smac/smac/smac,False,False
config__SS-H,smac/smac/smac,False,False
config__SS-I,tie/smac/smac,True,False
config__SS-J,ezr/smac/smac,True,True
config__SS-K,tie/smac/smac,True,False
config__SS-L,ezr/smac/smac,True,True
config__SS-M,tie/tie/tie,False,False
config__SS-N,ezr/ezr/ezr,False,False
config__SS-O,tie/smac/smac,True,False
config__SS-P,tie/smac/smac,True,False
config__SS-Q,tie/tie/tie,False,False
config__SS-R,tie/tie/tie,False,False
config__SS-S,tie/tie/tie,False,False
config__SS-T,tie/smac/smac,True,False
config__SS-U,ezr/tie/tie,True,False
config__SS-V,smac/smac/smac,False,False
config__SS-W,tie/smac/smac,True,False
config__SS-X,smac/smac/smac,False,False
config__X264_AllMeasurements,tie/tie/tie,False,False
config__rs-6d-c3_obj1,smac/tie/tie,True,False
config__rs-6d-c3_obj2,tie/tie/tie,False,False
config__sol-6d-c2-obj1,tie/tie/tie,False,False
config__wc+rs-3d-c4-obj1,tie/tie/tie,False,False
config__wc+sol-3d-c4-obj1,tie/tie/tie,False,False
config__wc+wc-3d-c4-obj1,tie/tie/tie,False,False
config__wc-6d-c1-obj1,smac/smac/tie,True,False
financial_data__BankChurners,ezr/tie/smac,True,True
financial_data__Loan,tie/smac/smac,True,False
financial_data__WA_Fn-UseC_-Telco-Customer-Churn,tie/tie/tie,False,False
financial_data__home_data_for_ml_course,smac/smac/smac,False,False
health_data__Life_Expectancy_Data,ezr/ezr/ezr,False,False
health_data__Medical_Data_and_Hospital_Readmissions,ezr/ezr/ezr,False,False
hpo__Health-ClosedIssues0000,smac/smac/smac,False,False
hpo__Health-ClosedIssues0001,ezr/ezr/ezr,False,False
hpo__Health-ClosedIssues0002,tie/smac/smac,True,False
hpo__Health-ClosedIssues0003,smac/smac/smac,False,False
hpo__Health-ClosedIssues0004,tie/smac/smac,True,False
hpo__Health-ClosedIssues0005,ezr/tie/smac,True,True
hpo__Health-ClosedIssues0006,ezr/ezr/ezr,False,False
hpo__Health-ClosedIssues0007,tie/smac/smac,True,False
hpo__Health-ClosedIssues0008,ezr/tie/smac,True,True
hpo__Health-ClosedIssues0009,smac/smac/smac,False,False
hpo__Health-ClosedIssues0010,ezr/ezr/smac,True,True
hpo__Health-ClosedIssues0011,ezr/tie/tie,True,False
hpo__Health-ClosedPRs0000,tie/tie/tie,False,False
hpo__Health-ClosedPRs0002,tie/tie/tie,False,False
hpo__Health-ClosedPRs0003,tie/smac/tie,True,False
hpo__Health-ClosedPRs0004,ezr/tie/smac,True,True
hpo__Health-ClosedPRs0005,tie/tie/tie,False,False
hpo__Health-ClosedPRs0006,tie/smac/smac,True,False
hpo__Health-ClosedPRs0007,smac/tie/smac,True,False
hpo__Health-ClosedPRs0008,tie/smac/smac,True,False
