task_id,dir,budget,winner,objective,input_shape,rows,n_decisions,coverage,x_dup_rate,smac_on_table,drr,R,I,drr_spread
behavior_data__WA_Fn-UseC_-HR-Employee-Attrition,behavior_data,30,smac,multi,large-numeric,1470,32,-97.61,0.0,0.0,0.9175133397820951,32,2.6395731269729508,
behavior_data__all_players,behavior_data,30,ezr,multi,large-numeric,17737,55,-258.48,0.0,0.0,0.968671635005443,55,1.723060074700638,0.0008027831142179
behavior_data__player_statistics_cleaned_final,behavior_data,30,ezr,single,large-numeric,81,26,-96.61,0.0,0.0,0.9142289826978792,26,2.230046449855136,
behavior_data__student_dropout,behavior_data,30,tie,single,large-numeric,649,33,-56.22,0.0,0.0,0.823790334738294,33,5.814918953636299,
binary_config__FFM-1000-200-0.50-SAT-1,binary_config,30,smac,multi,small-numeric,10000,1044,-0.71,0.0,0.45,0.9965201273629982,1044,3.6329870330298015,7.862962522975359e-06
binary_config__FFM-125-25-0.50-SAT-1,binary_config,30,smac,multi,small-numeric,10000,128,-13.71,0.0,0.0,0.9696474516433436,128,3.885126189652033,0.0002688573215368
binary_config__FFM-250-50-0.50-SAT-1,binary_config,30,smac,multi,small-numeric,10000,256,-0.71,0.0,0.71665,0.9858594330062688,256,3.619985150395179,0.0001284042105506
binary_config__FFM-500-100-0.50-SAT-1,binary_config,30,tie,multi,small-numeric,10000,510,-4.71,0.0,0.0667,0.9928678760169234,510,3.637383231369057,5.425692767702106e-05
binary_config__FM-500-100-0.25-SAT-1,binary_config,30,smac,multi,small-numeric,10000,517,-7.71,0.0,0.0,0.9928323648050892,517,3.705667395768963,6.149717520986808e-05
binary_config__FM-500-100-0.50-SAT-1,binary_config,30,ezr,multi,small-numeric,10000,513,-6.71,0.0,0.0,0.9926235227916798,513,3.784132807868271,7.404666825372441e-05
binary_config__FM-500-100-0.75-SAT-1,binary_config,30,smac,multi,small-numeric,10000,511,-0.71,0.0,0.5,0.9928829251687238,511,3.636825238782156,4.438780432280964e-05
binary_config__FM-500-100-1.00-SAT-1,binary_config,30,tie,multi,small-numeric,10000,511,-1.71,0.0,0.25,0.993100752686821,511,3.5255153770345093,4.799881271833062e-05
binary_config__Scrum100k,binary_config,30,smac,multi,small-numeric,100000,124,-4.39,0.0,0.0333,0.9674182970351136,124,4.040131167645924,0.000955139827753
binary_config__Scrum10k,binary_config,30,tie,multi,small-numeric,10000,124,-4.71,0.0,0.0333,0.972436128998142,124,3.417920004230385,0.0001216042055987
binary_config__Scrum1k,binary_config,30,tie,multi,small-numeric,1000,124,-3.03,0.0,0.1333,0.9785604114187344,124,2.658508984076945,
binary_config__billing10k,binary_config,30,tie,multi,small-numeric,10000,88,-0.71,0.0,0.71665,0.9586191046247624,88,3.641518793020909,0.0002590799528486
config__Apache_AllMeasurements,config,30,ezr,single,binary/SAT,192,9,-0.42,0.0,0.8,0.7500210795668084,9,2.2498102838987246,
config__HSMGP_num,config,30,tie,single,small-numeric,3456,14,-4.86,0.0,0.0333,0.8583728389355618,14,1.9827802549021345,
config__SQL_AllMeasurements,config,30,ezr,single,binary/SAT,4653,38,-25.99,0.112,0.0,0.921755223522461,38,2.973301506146482,
config__SS-A,config,30,tie,multi,small-numeric,1343,3,-0.06,0.0,0.9667,0.7457741652726069,3,0.7626775041821795,
config__SS-B,config,30,tie,multi,small-numeric,206,3,-1.71,0.0,0.2667,0.5466313054190446,3,1.3601060837428665,
config__SS-C,config,30,smac,multi,small-numeric,1512,3,0.0,0.0,1.0,0.8726497093827378,3,0.3820508718517867,
config__SS-D,config,30,smac,multi,small-numeric,196,3,0.0,0.0,1.0,0.90416848097582,3,0.2874945570725399,
config__SS-E,config,30,tie,multi,small-numeric,756,3,0.0,0.0,1.0,0.906607377595228,3,0.2801778672143162,
config__SS-F,config,30,smac,multi,small-numeric,196,3,0.0,0.0,1.0,0.90416848097582,3,0.2874945570725399,
config__SS-G,config,30,smac,multi,small-numeric,196,3,0.0,0.0,1.0,0.90416848097582,3,0.2874945570725399,
config__SS-H,config,30,smac,multi,small-numeric,259,4,-0.11,0.0,0.9333,0.7652156800831622,4,0.939137279667351,
config__SS-I,config,30,tie,multi,small-numeric,1080,5,0.0,0.0,1.0,0.9566922974477626,5,0.2165385127611868,
config__SS-J,config,30,ezr,multi,small-numeric,3840,6,0.0,0.0,1.0,0.9215931795768854,6,0.4704409225386877,
config__SS-K,config,30,tie,multi,small-numeric,2880,6,0.0,0.0,1.0,0.8751921062558012,6,0.7488473624651928,
config__SS-L,config,30,ezr,multi,binary/SAT,1023,11,-0.42,0.2493,0.7667,0.7543267940669875,11,2.7024052652631365,
config__SS-M,config,30,tie,multi,binary/SAT,864,17,-5.25,0.0,0.0,0.8390937801461175,17,2.7354057375160026,
config__SS-N,config,30,ezr,multi,large-numeric,53662,17,-73.38,0.0263,0.0,0.9223613814277646,17,1.3198565157280016,0.0025290374015413
config__SS-O,config,30,tie,multi,small-numeric,972,11,-1.83,0.0,0.2667,0.9613205991883608,11,0.4254734089280318,
config__SS-P,config,30,tie,multi,binary/SAT,1023,11,-0.42,0.2493,0.75,0.7543267940669875,11,2.7024052652631365,
config__SS-Q,config,30,tie,multi,small-numeric,2736,13,-3.34,0.0,0.0667,0.8168715405604823,13,2.380669972713731,
config__SS-R,config,30,tie,multi,small-numeric,3008,14,-3.62,0.0,0.0667,0.8331491766231496,14,2.3359115272759063,
config__SS-S,config,30,tie,multi,small-numeric,3840,6,0.0,0.0,1.0,0.9215931795768854,6,0.4704409225386877,
config__SS-T,config,30,tie,multi,small-numeric,5184,12,-3.42,0.0,0.15,0.7868136845159132,12,2.558235785809042,0.0015888906179848
config__SS-U,config,30,ezr,multi,binary/SAT,4608,21,-4.83,0.0,0.0333,0.8456492854515496,21,3.241365005517457,
config__SS-V,config,30,smac,multi,binary/SAT,6840,16,-6.17,0.0,0.0,0.9086032425654068,16,1.46234811895349,0.0006875368765394
config__SS-W,config,30,tie,multi,binary/SAT,65536,16,0.0,0.0,1.0,0.7384150483704176,16,4.185359226073318,0.0034198401532057
config__SS-X,config,30,smac,multi,small-numeric,86058,11,-2.93,0.0,0.08335000000000001,0.8163598725443566,11,2.020041402012078,0.0037514424222017
config__X264_AllMeasurements,config,30,tie,single,binary/SAT,1152,16,-2.83,0.0,0.18335,0.825008006641479,16,2.7998718937363365,
config__rs-6d-c3_obj1,config,30,smac,single,small-numeric,3840,6,0.0,0.0,1.0,0.9215931795768854,6,0.4704409225386877,
config__rs-6d-c3_obj2,config,30,tie,single,small-numeric,3840,6,0.0,0.0,1.0,0.9215931795768854,6,0.4704409225386877,
config__sol-6d-c2-obj1,config,30,tie,single,small-numeric,2866,6,-0.01,0.0,1.0,0.9195180571856272,6,0.4828916568862371,
config__wc+rs-3d-c4-obj1,config,30,tie,single,small-numeric,196,3,0.0,0.0,1.0,0.90416848097582,3,0.2874945570725399,
config__wc+sol-3d-c4-obj1,config,30,tie,single,small-numeric,196,3,0.0,0.0,1.0,0.90416848097582,3,0.2874945570725399,
config__wc+wc-3d-c4-obj1,config,30,tie,single,small-numeric,196,3,0.0,0.0,1.0,0.90416848097582,3,0.2874945570725399,
config__wc-6d-c1-obj1,config,30,smac,single,small-numeric,2880,6,0.0,0.0,1.0,0.8751921062558012,6,0.7488473624651928,
financial_data__BankChurners,financial_data,30,ezr,multi,large-numeric,10127,19,-92.45,0.0,0.0,0.9493155801270514,19,0.9630039775860224,0.000345566373642
financial_data__Loan,financial_data,30,tie,multi,large-numeric,20000,31,-243.34,0.0,0.0,0.9247152435730844,31,2.3338274492343785,0.0027553419243198
financial_data__WA_Fn-UseC_-Telco-Customer-Churn,financial_data,30,tie,multi,large-numeric,7043,19,-29.45,0.0,0.0,0.9122755240707768,19,1.6667650426552392,0.003260611397573
financial_data__home_data_for_ml_course,financial_data,30,smac,multi,large-numeric,1460,77,-290.02,0.0,0.0,0.9557468591360596,77,3.407491846523416,
health_data__Life_Expectancy_Data,health_data,30,ezr,multi,large-numeric,2938,20,-148.54,0.0,0.0,0.9679925750528912,20,0.6401484989421758,
health_data__Medical_Data_and_Hospital_Readmissions,health_data,30,ezr,single,large-numeric,25000,64,-73.42,0.0,0.0,0.9276081638883292,64,4.6330775111469285,0.0003242086093822
hpo__Health-ClosedIssues0000,hpo,30,smac,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-ClosedIssues0001,hpo,30,ezr,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-ClosedIssues0002,hpo,30,tie,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-ClosedIssues0003,hpo,30,smac,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-ClosedIssues0004,hpo,30,tie,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-ClosedIssues0005,hpo,30,ezr,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-ClosedIssues0006,hpo,30,ezr,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-ClosedIssues0007,hpo,30,tie,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-ClosedIssues0008,hpo,30,ezr,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-ClosedIssues0009,hpo,30,smac,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-ClosedIssues0010,hpo,30,ezr,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-ClosedIssues0011,hpo,30,ezr,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-ClosedPRs0000,hpo,30,tie,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-ClosedPRs0002,hpo,30,tie,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-ClosedPRs0003,hpo,30,tie,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-ClosedPRs0004,hpo,30,ezr,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
