task_id,dir,budget,winner,objective,input_shape,cell,rows,n_decisions,coverage,x_dup_rate,smac_on_table,ezr_on_table
behavior_data__WA_Fn-UseC_-HR-Employee-Attrition,behavior_data,30,smac,multi,large-numeric,multi | large-numeric,1470,32,-97.61,0.0,0.0,1.0
behavior_data__all_players,behavior_data,30,ezr,multi,large-numeric,multi | large-numeric,17737,55,-258.48,0.0,0.0,1.0
behavior_data__player_statistics_cleaned_final,behavior_data,30,ezr,single,large-numeric,single | large-numeric,81,26,-96.61,0.0,0.0,1.0
behavior_data__student_dropout,behavior_data,30,tie,single,large-numeric,single | large-numeric,649,33,-56.22,0.0,0.0,1.0
binary_config__FFM-1000-200-0.50-SAT-1,binary_config,30,smac,multi,small-numeric,multi | small-numeric,10000,1044,-0.71,0.0,0.45,1.0
binary_config__FFM-125-25-0.50-SAT-1,binary_config,30,smac,multi,small-numeric,multi | small-numeric,10000,128,-13.71,0.0,0.0,1.0
binary_config__FFM-250-50-0.50-SAT-1,binary_config,30,smac,multi,small-numeric,multi | small-numeric,10000,256,-0.71,0.0,0.71665,1.0
binary_config__FFM-500-100-0.50-SAT-1,binary_config,30,tie,multi,small-numeric,multi | small-numeric,10000,510,-4.71,0.0,0.0667,1.0
binary_config__FM-500-100-0.25-SAT-1,binary_config,30,smac,multi,small-numeric,multi | small-numeric,10000,517,-7.71,0.0,0.0,1.0
binary_config__FM-500-100-0.50-SAT-1,binary_config,30,ezr,multi,small-numeric,multi | small-numeric,10000,513,-6.71,0.0,0.0,1.0
binary_config__FM-500-100-0.75-SAT-1,binary_config,30,smac,multi,small-numeric,multi | small-numeric,10000,511,-0.71,0.0,0.5,1.0
binary_config__FM-500-100-1.00-SAT-1,binary_config,30,tie,multi,small-numeric,multi | small-numeric,10000,511,-1.71,0.0,0.25,1.0
binary_config__Scrum100k,binary_config,30,smac,multi,small-numeric,multi | small-numeric,100000,124,-4.39,0.0,0.0333,1.0
binary_config__Scrum10k,binary_config,30,tie,multi,small-numeric,multi | small-numeric,10000,124,-4.71,0.0,0.0333,1.0
binary_config__Scrum1k,binary_config,30,tie,multi,small-numeric,multi | small-numeric,1000,124,-3.03,0.0,0.1333,1.0
binary_config__billing10k,binary_config,30,tie,multi,small-numeric,multi | small-numeric,10000,88,-0.71,0.0,0.71665,1.0
config__Apache_AllMeasurements,config,30,ezr,single,binary/SAT,single | binary/SAT,192,9,-0.42,0.0,0.8,1.0
config__HSMGP_num,config,30,tie,single,small-numeric,single | small-numeric,3456,14,-4.86,0.0,0.0333,1.0
config__SQL_AllMeasurements,config,30,ezr,single,binary/SAT,single | binary/SAT,4653,38,-25.99,0.112,0.0,1.0
config__SS-A,config,30,tie,multi,small-numeric,multi | small-numeric,1343,3,-0.06,0.0,0.9667,1.0
config__SS-B,config,30,tie,multi,small-numeric,multi | small-numeric,206,3,-1.71,0.0,0.2667,1.0
config__SS-C,config,30,smac,multi,small-numeric,multi | small-numeric,1512,3,0.0,0.0,1.0,1.0
config__SS-D,config,30,smac,multi,small-numeric,multi | small-numeric,196,3,0.0,0.0,1.0,1.0
config__SS-E,config,30,tie,multi,small-numeric,multi | small-numeric,756,3,0.0,0.0,1.0,1.0
config__SS-F,config,30,smac,multi,small-numeric,multi | small-numeric,196,3,0.0,0.0,1.0,1.0
config__SS-G,config,30,smac,multi,small-numeric,multi | small-numeric,196,3,0.0,0.0,1.0,1.0
config__SS-H,config,30,smac,multi,small-numeric,multi | small-numeric,259,4,-0.11,0.0,0.9333,1.0
config__SS-I,config,30,tie,multi,small-numeric,multi | small-numeric,1080,5,0.0,0.0,1.0,1.0
config__SS-J,config,30,ezr,multi,small-numeric,multi | small-numeric,3840,6,0.0,0.0,1.0,1.0
config__SS-K,config,30,tie,multi,small-numeric,multi | small-numeric,2880,6,0.0,0.0,1.0,1.0
config__SS-L,config,30,ezr,multi,binary/SAT,multi | binary/SAT,1023,11,-0.42,0.2493,0.7667,1.0
config__SS-M,config,30,tie,multi,binary/SAT,multi | binary/SAT,864,17,-5.25,0.0,0.0,1.0
config__SS-N,config,30,ezr,multi,large-numeric,multi | large-numeric,53662,17,-73.38,0.0263,0.0,1.0
config__SS-O,config,30,tie,multi,small-numeric,multi | small-numeric,972,11,-1.83,0.0,0.2667,1.0
config__SS-P,config,30,tie,multi,binary/SAT,multi | binary/SAT,1023,11,-0.42,0.2493,0.75,1.0
config__SS-Q,config,30,tie,multi,small-numeric,multi | small-numeric,2736,13,-3.34,0.0,0.0667,1.0
config__SS-R,config,30,tie,multi,small-numeric,multi | small-numeric,3008,14,-3.62,0.0,0.0667,1.0
config__SS-S,config,30,tie,multi,small-numeric,multi | small-numeric,3840,6,0.0,0.0,1.0,1.0
config__SS-T,config,30,tie,multi,small-numeric,multi | small-numeric,5184,12,-3.42,0.0,0.15,1.0
config__SS-U,config,30,ezr,multi,binary/SAT,multi | binary/SAT,4608,21,-4.83,0.0,0.0333,1.0
config__SS-V,config,30,smac,multi,binary/SAT,multi | binary/SAT,6840,16,-6.17,0.0,0.0,1.0
config__SS-W,config,30,tie,multi,binary/SAT,multi | binary/SAT,65536,16,0.0,0.0,1.0,1.0
config__SS-X,config,30,smac,multi,small-numeric,multi | small-numeric,86058,11,-2.93,0.0,0.08335000000000001,1.0
config__X264_AllMeasurements,config,30,tie,single,binary/SAT,single | binary/SAT,1152,16,-2.83,0.0,0.18335,1.0
config__rs-6d-c3_obj1,config,30,smac,single,small-numeric,single | small-numeric,3840,6,0.0,0.0,1.0,1.0
config__rs-6d-c3_obj2,config,30,tie,single,small-numeric,single | small-numeric,3840,6,0.0,0.0,1.0,1.0
config__sol-6d-c2-obj1,config,30,tie,single,small-numeric,single | small-numeric,2866,6,-0.01,0.0,1.0,1.0
config__wc+rs-3d-c4-obj1,config,30,tie,single,small-numeric,single | small-numeric,196,3,0.0,0.0,1.0,1.0
config__wc+sol-3d-c4-obj1,config,30,tie,single,small-numeric,single | small-numeric,196,3,0.0,0.0,1.0,1.0
config__wc+wc-3d-c4-obj1,config,30,tie,single,small-numeric,single | small-numeric,196,3,0.0,0.0,1.0,1.0
config__wc-6d-c1-obj1,config,30,smac,single,small-numeric,single | small-numeric,2880,6,0.0,0.0,1.0,1.0
financial_data__BankChurners,financial_data,30,ezr,multi,large-numeric,multi | large-numeric,10127,19,-92.45,0.0,0.0,1.0
financial_data__Loan,financial_data,30,tie,multi,large-numeric,multi | large-numeric,20000,31,-243.34,0.0,0.0,1.0
financial_data__WA_Fn-UseC_-Telco-Customer-Churn,financial_data,30,tie,multi,large-numeric,multi | large-numeric,7043,19,-29.45,0.0,0.0,1.0
financial_data__home_data_for_ml_course,financial_data,30,smac,multi,large-numeric,multi | large-numeric,1460,77,-290.02,0.0,0.0,1.0
health_data__Life_Expectancy_Data,health_data,30,ezr,multi,large-numeric,multi | large-numeric,2938,20,-148.54,0.0,0.0,1.0
health_data__Medical_Data_and_Hospital_Readmissions,health_data,30,ezr,single,large-numeric,single | large-numeric,25000,64,-73.42,0.0,0.0,1.0
hpo__Health-ClosedIssues0000,hpo,30,smac,multi,small-numeric,multi | small-numeric,10000,5,-6.62,0.0,0.0,1.0
hpo__Health-ClosedIssues0001,hpo,30,ezr,multi,small-numeric,multi | small-numeric,10000,5,-6.62,0.0,0.0,1.0
hpo__Health-ClosedIssues0002,hpo,30,tie,multi,small-numeric,multi | small-numeric,10000,5,-6.62,0.0,0.0,1.0
