task_id,dir,rows,n_decisions,n_goals,drr_spread,drr_version,drr_seed,R,I,drr,sampling_applied
behavior_data__WA_Fn-UseC_-HR-Employee-Attrition,behavior_data,1470,32,3,,1.0.5.dev1+g94c41c843,42,32,2.6395731269729508,0.9175133397820953,False
behavior_data__all_players,behavior_data,17737,55,2,0.0008027831142179975,1.0.5.dev1+g94c41c843,42,55,1.723060074700638,0.968671635005443,True
behavior_data__player_statistics_cleaned_final,behavior_data,81,26,1,,1.0.5.dev1+g94c41c843,42,26,2.230046449855136,0.9142289826978793,False
behavior_data__student_dropout,behavior_data,649,33,1,,1.0.5.dev1+g94c41c843,42,33,5.814918953636299,0.823790334738294,False
binary_config__FFM-1000-200-0.50-SAT-1,binary_config,10000,1044,3,7.862962522975359e-06,1.0.5.dev1+g94c41c843,42,1044,3.6329870330298024,0.9965201273629982,True
binary_config__FFM-125-25-0.50-SAT-1,binary_config,10000,128,3,0.0002688573215368084,1.0.5.dev1+g94c41c843,42,128,3.885126189652033,0.9696474516433435,True
binary_config__FFM-250-50-0.50-SAT-1,binary_config,10000,256,3,0.00012840421055060336,1.0.5.dev1+g94c41c843,42,256,3.619985150395179,0.9858594330062689,True
binary_config__FFM-500-100-0.50-SAT-1,binary_config,10000,510,3,5.425692767702106e-05,1.0.5.dev1+g94c41c843,42,510,3.637383231369057,0.9928678760169234,True
binary_config__FM-500-100-0.25-SAT-1,binary_config,10000,517,3,6.149717520986808e-05,1.0.5.dev1+g94c41c843,42,517,3.705667395768963,0.9928323648050891,True
binary_config__FM-500-100-0.50-SAT-1,binary_config,10000,513,3,7.404666825372441e-05,1.0.5.dev1+g94c41c843,42,513,3.7841328078682706,0.9926235227916798,True
binary_config__FM-500-100-0.75-SAT-1,binary_config,10000,511,3,4.438780432280964e-05,1.0.5.dev1+g94c41c843,42,511,3.6368252387821562,0.9928829251687238,True
binary_config__FM-500-100-1.00-SAT-1,binary_config,10000,511,3,4.799881271833062e-05,1.0.5.dev1+g94c41c843,42,511,3.5255153770345093,0.993100752686821,True
binary_config__Scrum100k,binary_config,100000,124,3,0.000955139827753082,1.0.5.dev1+g94c41c843,42,124,4.0401311676459235,0.9674182970351135,True
binary_config__Scrum10k,binary_config,10000,124,3,0.00012160420559870211,1.0.5.dev1+g94c41c843,42,124,3.4179200042303846,0.972436128998142,True
binary_config__Scrum1k,binary_config,1000,124,3,,1.0.5.dev1+g94c41c843,42,124,2.658508984076945,0.9785604114187343,False
binary_config__billing10k,binary_config,10000,88,3,0.00025907995284868424,1.0.5.dev1+g94c41c843,42,88,3.6415187930209085,0.9586191046247624,True
config__Apache_AllMeasurements,config,192,9,1,,1.0.5.dev1+g94c41c843,42,9,2.2498102838987246,0.7500210795668084,False
config__HSMGP_num,config,3456,14,1,,1.0.5.dev1+g94c41c843,42,14,1.9827802549021343,0.8583728389355618,False
