task_id,rows,n_decisions,n_goals,objective,space_size,coverage,x_dup_rate,input_shape
config__SS-D,196,3,2,multi,7.61,0.0,0.0,small-numeric
config__SS-C,1512,3,2,multi,10.56,0.0,0.0,small-numeric
config__SS-K,2880,6,2,multi,11.49,0.0,0.0,small-numeric
config__SS-I,1080,5,2,multi,10.08,0.0,0.0,small-numeric
config__SS-G,196,3,2,multi,7.61,0.0,0.0,small-numeric
config__SS-F,196,3,2,multi,7.61,0.0,0.0,small-numeric
systems__PostgreSQL,19008,9,1,single,9.75,0.0,0.9545,small-numeric
systems__LLVM,1024,10,1,single,10.0,0.0,0.0,binary/SAT
systems__deeparch,4096,12,1,single,12.0,0.0,0.0,binary/SAT
config__rs-6d-c3_obj2,3840,6,1,single,11.91,0.0,0.0,small-numeric
config__rs-6d-c3_obj1,3840,6,1,single,11.91,0.0,0.0,small-numeric
config__wc-6d-c1-obj1,2880,6,1,single,11.49,0.0,0.0,small-numeric
config__wc+wc-3d-c4-obj1,196,3,1,single,7.61,0.0,0.0,small-numeric
config__wc+sol-3d-c4-obj1,196,3,1,single,7.61,0.0,0.0,small-numeric
config__wc+rs-3d-c4-obj1,196,3,1,single,7.61,0.0,0.0,small-numeric
config__SS-W,65536,16,2,multi,16.0,0.0,0.0,binary/SAT
config__SS-S,3840,6,2,multi,11.91,0.0,0.0,small-numeric
config__SS-J,3840,6,2,multi,11.91,0.0,0.0,small-numeric
config__SS-E,756,3,2,multi,9.56,0.0,0.0,small-numeric
config__sol-6d-c2-obj1,2866,6,1,single,11.49,-0.01,0.0,small-numeric
config__SS-A,1343,3,2,multi,10.46,-0.06,0.0,small-numeric
config__SS-H,259,4,2,multi,8.13,-0.11,0.0,small-numeric
config__Apache_AllMeasurements,192,9,1,single,8.0,-0.42,0.0,binary/SAT
config__SS-L,1023,11,2,multi,10.0,-0.42,0.2493,binary/SAT
config__SS-P,1023,11,2,multi,10.0,-0.42,0.2493,binary/SAT
binary_config__FFM-1000-200-0.50-SAT-1,10000,1044,3,multi,14.0,-0.71,0.0,small-numeric
binary_config__FFM-250-50-0.50-SAT-1,10000,256,3,multi,14.0,-0.71,0.0,small-numeric
binary_config__FM-500-100-0.75-SAT-1,10000,511,3,multi,14.0,-0.71,0.0,small-numeric
binary_config__billing10k,10000,88,3,multi,14.0,-0.71,0.0,small-numeric
systems__storm,1557,12,1,single,12.0,-1.4,0.0,binary/SAT
config__SS-B,206,3,2,multi,9.4,-1.71,0.0,small-numeric
binary_config__FM-500-100-1.00-SAT-1,10000,511,3,multi,15.0,-1.71,0.0,small-numeric
config__SS-O,972,11,2,multi,11.75,-1.83,0.0,small-numeric
systems__7z,68640,14,1,single,18.74,-2.68,0.0,small-numeric
config__X264_AllMeasurements,1152,16,1,single,13.0,-2.83,0.0,binary/SAT
systems__exastencils,86058,12,1,single,19.32,-2.93,0.0,small-numeric
config__SS-X,86058,11,2,multi,19.32,-2.93,0.0,small-numeric
binary_config__Scrum1k,1000,124,3,multi,13.0,-3.03,0.0,small-numeric
config__SS-Q,2736,13,3,multi,14.75,-3.34,0.0,small-numeric
config__SS-T,5184,12,2,multi,15.75,-3.42,0.0,small-numeric
config__SS-R,3008,14,2,multi,15.17,-3.62,0.0,small-numeric
sales_data__socks,350,20,1,single,12.7,-4.25,0.0,small-numeric
binary_config__Scrum100k,100000,124,3,multi,21.0,-4.39,0.0,small-numeric
systems__BDBC,2560,16,1,single,16.0,-4.68,0.0,binary/SAT
binary_config__Scrum10k,10000,124,3,multi,18.0,-4.71,0.0,small-numeric
binary_config__FFM-500-100-0.50-SAT-1,10000,510,3,multi,18.0,-4.71,0.0,small-numeric
config__SS-U,4608,21,2,multi,17.0,-4.83,0.0,binary/SAT
config__HSMGP_num,3456,14,1,single,16.61,-4.86,0.0,small-numeric
systems__HSQLDB,864,18,1,single,15.0,-5.25,0.0,binary/SAT
config__SS-M,864,17,3,multi,15.0,-5.25,0.0,binary/SAT
config__SS-V,6840,16,2,multi,18.91,-6.17,0.0,binary/SAT
binary_config__FM-500-100-0.50-SAT-1,10000,513,3,multi,20.0,-6.71,0.0,small-numeric
systems__dconvert,6764,18,1,single,18.0,-7.1,0.7176,binary/SAT
binary_config__FM-500-100-0.25-SAT-1,10000,517,3,multi,21.0,-7.71,0.0,small-numeric
binary_config__FFM-125-25-0.50-SAT-1,10000,128,3,multi,27.0,-13.71,0.0,small-numeric
process__nasa93dem,93,22,3,multi,24.66,-18.88,0.4086,small-numeric
config__SQL_AllMeasurements,4653,38,1,single,38.0,-25.99,0.112,binary/SAT
financial_data__WA_Fn-UseC_-Telco-Customer-Churn,7043,19,2,multi,42.24,-29.45,0.0,large-numeric
rl__A2C_CartPole,317,7,4,multi,44.81,-36.5,0.0,large-numeric
process__coc1000,1000,20,5,multi,46.73,-36.76,0.0,large-numeric
rl__A2C_Acrobot,223,10,3,multi,49.86,-42.06,0.0,large-numeric
systems__redis,4400,9,1,single,54.7,-43.08,0.283,large-numeric
sales_data__accessories,1121,14,2,multi,58.23,-48.1,0.0,large-numeric
behavior_data__student_dropout,649,33,1,single,65.56,-56.22,0.0,large-numeric
sales_data__dress-up,882,20,2,multi,69.15,-59.37,0.0,large-numeric
process__pom3d,500,9,3,multi,80.69,-71.73,0.0,large-numeric
systems__x264,53662,17,1,single,89.05,-73.38,0.0263,large-numeric
config__SS-N,53662,17,2,multi,89.05,-73.38,0.0263,large-numeric
health_data__Medical_Data_and_Hospital_Readmissions,25000,64,1,single,88.03,-73.42,0.0,large-numeric
systems__javagc,166975,35,1,single,99.81,-82.48,0.0151,large-numeric
test__dataset120,4852,9,1,single,98.36,-86.13,0.007,large-numeric
test__dataset600,4845,9,1,single,99.15,-86.92,0.0083,large-numeric
financial_data__BankChurners,10127,19,4,multi,105.76,-92.45,0.0,large-numeric
behavior_data__player_statistics_cleaned_final,81,26,1,single,102.95,-96.61,0.0,large-numeric
behavior_data__WA_Fn-UseC_-HR-Employee-Attrition,1470,32,3,multi,108.13,-97.61,0.0,large-numeric
sales_data__Marketing_Analytics,2205,31,8,multi,112.32,-101.35,0.0921,large-numeric
process__pom3a,20000,9,3,multi,128.59,-114.3,0.0,large-numeric
process__pom3c,20000,9,3,multi,128.59,-114.3,0.0,large-numeric
process__pom3b,20000,9,3,multi,128.59,-114.3,0.0,large-numeric
health_data__Life_Expectancy_Data,2938,20,2,multi,160.06,-148.54,0.0,large-numeric
process__xomo_osp2,10000,24,4,multi,206.73,-193.44,0.0,large-numeric
process__xomo_flight,10000,24,4,multi,252.44,-239.16,0.0,large-numeric
process__xomo_osp,10000,24,4,multi,252.59,-239.31,0.0,large-numeric
process__xomo_ground,10000,24,4,multi,252.65,-239.36,0.0,large-numeric
financial_data__Loan,20000,31,5,multi,257.62,-243.34,0.0,large-numeric
behavior_data__all_players,17737,55,2,multi,272.59,-258.48,0.0,large-numeric
financial_data__home_data_for_ml_course,1460,77,4,multi,300.53,-290.02,0.0,large-numeric
